===================Title===================
List of places in Pennsylvania: Sa–Si
===================Table===================
|     | Name of place                  |   Number of counties | Principal county      |   Lower zip code |   Upper zip code |
|  57 | Salco                          |                    1 | Somerset County       |            15530 |              nan |
|  58 | Salem                          |                    1 | Clearfield County     |            15801 |              nan |
|  59 | Salem                          |                    1 | Franklin County       |            17201 |              nan |
|  60 | Salem                          |                    1 | Mercer County         |            16125 |              nan |
|  61 | Salem                          |                    1 | Snyder County         |            17870 |              nan |
|  62 | Salem Harbor                   |                    1 | Bucks County          |            19020 |              nan |
|  63 | Salem Township                 |                    1 | Clarion County        |              nan |              nan |
|  64 | Salem Township                 |                    1 | Luzerne County        |              nan |              nan |
|  65 | Salem Township                 |                    1 | Mercer County         |              nan |              nan |
|  66 | Salem Township                 |                    1 | Wayne County          |              nan |              nan |
|  67 | Salem Township                 |                    1 | Westmoreland County   |              nan |              nan |
|  68 | Salemville                     |                    1 | Bedford County        |            16664 |              nan |
|  69 | Salford                        |                    1 | Montgomery County     |            18957 |              nan |
|  70 | Salford Heights                |                    1 | Montgomery County     |            19438 |              nan |
|  71 | Salford Township               |                    1 | Montgomery County     |              nan |              nan |
|  72 | Salfordville                   |                    1 | Montgomery County     |            18958 |              nan |
|  73 | Salida                         |                    1 | Allegheny County      |            15227 |              nan |
|  74 | Salina                         |                    1 | Westmoreland County   |            15680 |              nan |
|  75 | Salisbury                      |                    1 | Somerset County       |            15558 |              nan |
|  76 | Salisbury Heights              |                    1 | Lancaster County      |            17527 |              nan |
|  77 | Salisbury Junction             |                    1 | Somerset County       |            15552 |              nan |
|  78 | Salisbury Township             |                    1 | Lancaster County      |              nan |              nan |
|  79 | Salisbury Township             |                    1 | Lehigh County         |              nan |              nan |
|  80 | Salix                          |                    1 | Cambria County        |            15952 |              nan |
|  81 | Salix-Beauty Line Park         |                    1 | Cambria County        |              nan |              nan |
|  82 | Salladasburg                   |                    1 | Lycoming County       |            17740 |              nan |
|  83 | Sally Ann                      |                    1 | Berks County          |              nan |              nan |
|  84 | Salona                         |                    1 | Clinton County        |            17767 |              nan |
|  85 | Saltillo                       |                    1 | Huntingdon County     |            17253 |              nan |
|  86 | Saltlick Township              |                    1 | Fayette County        |              nan |              nan |
|  87 | Saltsburg                      |                    1 | Indiana County        |            15681 |              nan |
|  88 | Salunga                        |                    1 | Lancaster County      |            17538 |              nan |
|  89 | Salunga-Landisville            |                    1 | Lancaster County      |              nan |              nan |
|  90 | Saluvia                        |                    1 | Fulton County         |            17228 |              nan |
|  91 | Sample                         |                    1 | Allegheny County      |              nan |              nan |
|  92 | Sample Heights                 |                    1 | Allegheny County      |            15209 |              nan |
|  93 | Sample Run                     |                    1 | Indiana County        |            15728 |              nan |
|  94 | Sample Spur Junction           |                    1 | Lawrence County       |              nan |              nan |
|  95 | Sampson                        |                    1 | Erie County           |              nan |              nan |
|  96 | Sampson                        |                    1 | Washington County     |            15063 |              nan |
|  97 | Sampson-Grandview-Eldora       |                    1 | Washington County     |              nan |              nan |
|  98 | Sanatoga                       |                    1 | Montgomery County     |            19464 |              nan |
|  99 | Sanatoga Park                  |                    1 | Montgomery County     |            19464 |              nan |
| 100 | Sanbourn                       |                    1 | Clearfield County     |            16651 |              nan |
| 101 | Sand Beach                     |                    1 | Dauphin County        |            17033 |              nan |
| 102 | Sand Hill                      |                    1 | Lebanon County        |            17042 |              nan |
| 103 | Sand Hill                      |                    1 | Westmoreland County   |              nan |              nan |
| 104 | Sand Patch                     |                    1 | Somerset County       |            15552 |              nan |
| 105 | Sand Spring                    |                    1 | Luzerne County        |            18222 |              nan |
| 106 | Sandertown                     |                    1 | Cambria County        |              nan |              nan |
| 107 | Sandhill                       |                    1 | Monroe County         |            18354 |              nan |
| 108 | Sandrock                       |                    1 | Greene County         |              nan |              nan |
| 109 | Sandts Eddy                    |                    1 | Northampton County    |            18042 |              nan |
| 110 | Sandy                          |                    1 | Clearfield County     |            15801 |              nan |
| 111 | Sandy Bank                     |                    1 | Delaware County       |            19063 |              nan |
| 112 | Sandy Creek                    |                    1 | Allegheny County      |            15147 |              nan |
| 113 | Sandy Creek Township           |                    1 | Mercer County         |              nan |              nan |
| 114 | Sandy Hill                     |                    1 | Montgomery County     |            19401 |              nan |
| 115 | Sandy Hollow                   |                    1 | Clarion County        |            16248 |              nan |
| 116 | Sandy Hook                     |                    1 | Franklin County       |              nan |              nan |
| 117 | Sandy Lake                     |                    1 | Mercer County         |            16145 |              nan |
| 118 | Sandy Lake Township            |                    1 | Mercer County         |              nan |              nan |
| 119 | Sandy Lick                     |                    1 | Butler County         |              nan |              nan |
| 120 | Sandy Plains                   |                    1 | Washington County     |            15322 |              nan |
| 121 | Sandy Point                    |                    1 | Butler County         |              nan |              nan |
| 122 | Sandy Ridge                    |                    1 | Centre County         |            16677 |              nan |
| 123 | Sandy Run                      |                    1 | Greene County         |            15338 |              nan |
| 124 | Sandy Run                      |                    1 | Luzerne County        |            18224 |              nan |
| 125 | Sandy Valley                   |                    1 | Jefferson County      |            15851 |              nan |
| 126 | Sandy Township                 |                    1 | Clearfield County     |              nan |              nan |
| 127 | Sandycreek Township            |                    1 | Venango County        |              nan |              nan |
| 128 | Sandyville                     |                    1 | Pike County           |            18324 |              nan |
| 129 | Sanford                        |                    1 | Warren County         |            16340 |              nan |
| 130 | Sankertown                     |                    1 | Cambria County        |            16630 |              nan |
| 131 | Santiago                       |                    1 | Allegheny County      |              nan |              nan |
| 132 | Sarah Furnace                  |                    1 | Clarion County        |            16248 |              nan |
| 133 | Sardis                         |                    1 | Westmoreland County   |            15668 |              nan |
| 134 | Sartwell                       |                    1 | McKean County         |            16731 |              nan |
| 135 | Sarver                         |                    1 | Butler County         |            16055 |              nan |
| 136 | Sarversville                   |                    1 | Butler County         |            16055 |              nan |
| 137 | Sassamansville                 |                    1 | Montgomery County     |            19472 |              nan |
| 138 | Satterfield                    |                    1 | Sullivan County       |            18614 |              nan |
| 139 | Satterfield Junction           |                    1 | Sullivan County       |            18614 |              nan |
| 140 | Saulsburg                      |                    1 | Huntingdon County     |            16652 |              nan |
| 141 | Savage                         |                    1 | Somerset County       |              nan |              nan |
| 142 | Savan                          |                    1 | Indiana County        |              nan |              nan |
| 143 | Saverys Mill                   |                    1 | Chester County        |              nan |              nan |
| 144 | Saville                        |                    1 | Perry County          |            17074 |              nan |
| 145 | Saville Township               |                    1 | Perry County          |              nan |              nan |
| 146 | Sawtown                        |                    1 | Venango County        |            16301 |              nan |
| 147 | Sawyer City                    |                    1 | McKean County         |            16701 |              nan |
| 148 | Saxonburg                      |                    1 | Butler County         |            16056 |              nan |
| 149 | Saxton                         |                    1 | Bedford County        |            16678 |              nan |
| 150 | Saybrook                       |                    1 | Warren County         |            16347 |              nan |
| 151 | Saylorsburg                    |                    1 | Monroe County         |            18353 |              nan |
| 152 | Saylorsville                   |                    1 | Carbon County         |              nan |              nan |
| 153 | Sayre                          |                    1 | Bradford County       |            18840 |              nan |
| 154 | Scab Hill                      |                    1 | Westmoreland County   |              nan |              nan |
| 155 | Scalp Level                    |                    1 | Cambria County        |            15963 |              nan |
| 156 | Scammells Corner               |                    1 | Bucks County          |              nan |              nan |
| 157 | Scandia                        |                    1 | Warren County         |            16345 |              nan |
| 158 | Scarlan Hill                   |                    1 | Cambria County        |              nan |              nan |
| 159 | Scarlets Mill                  |                    1 | Berks County          |            19508 |              nan |
| 160 | Scattertown                    |                    1 | Elk County            |              nan |              nan |
| 161 | Scenery Hill                   |                    1 | Washington County     |            15360 |              nan |
| 162 | Scenic Hills                   |                    1 | Delaware County       |            19064 |              nan |
| 163 | Schades Corner                 |                    1 | Chester County        |              nan |              nan |
| 164 | Schaefferstown                 |                    1 | Lebanon County        |            17088 |              nan |
| 165 | Scheidy                        |                    1 | Lehigh County         |              nan |              nan |
| 166 | Schellsburg                    |                    1 | Bedford County        |            15559 |              nan |
| 167 | Schenley                       |                    1 | Armstrong County      |            15682 |              nan |
| 168 | Schenley Heights               |                    1 | Allegheny County      |              nan |              nan |
| 169 | Scherersville                  |                    1 | Lehigh County         |              nan |              nan |
| 170 | Schills                        |                    1 | Clarion County        |              nan |              nan |
| 171 | Schlusser                      |                    1 | Cumberland County     |              nan |              nan |
| 172 | Schnecksville                  |                    1 | Lehigh County         |            18078 |              nan |
| 173 | Schoeneck                      |                    1 | Lancaster County      |            17578 |              nan |
| 174 | Schoeneck                      |                    1 | Northampton County    |            18064 |              nan |
| 175 | Schoenersville                 |                    1 | Northampton County    |              nan |              nan |
| 176 | Schoentown                     |                    1 | Schuylkill County     |            17965 |              nan |
| 177 | Schofer                        |                    1 | Berks County          |            19530 |              nan |
| 178 | Schofield Corners              |                    1 | Mercer County         |              nan |              nan |
| 179 | Schollard                      |                    1 | Mercer County         |              nan |              nan |
| 180 | School Lane                    |                    1 | Lancaster County      |            17603 |              nan |
| 181 | School Lane Hills              |                    1 | Lancaster County      |            17604 |              nan |
| 182 | Schracktown                    |                    1 | Clinton County        |              nan |              nan |
| 183 | Schubert                       |                    1 | Berks County          |            19507 |              nan |
| 184 | Schultzville                   |                    1 | Berks County          |            19504 |              nan |
| 185 | Schultzville                   |                    1 | Lackawanna County     |            18411 |              nan |
| 186 | Schuster Heights               |                    1 | Butler County         |            16229 |              nan |
| 187 | Schuyler                       |                    2 | Montour County        |            17772 |              nan |
| 188 | Schuyler                       |                    2 | Northumberland County |            17772 |              nan |
| 189 | Schuylkill                     |                    1 | Philadelphia County   |            19146 |              nan |
| 190 | Schuylkill Haven               |                    1 | Schuylkill County     |            17972 |              nan |
| 191 | Schuylkill Hills               |                    1 | Montgomery County     |            19401 |              nan |
| 192 | Schuylkill Township            |                    1 | Chester County        |              nan |              nan |
| 193 | Schuylkill Township            |                    1 | Schuylkill County     |              nan |              nan |
| 194 | Schweibinzville                |                    1 | Somerset County       |              nan |              nan |
| 195 | Schwenksville                  |                    1 | Montgomery County     |            19473 |              nan |
| 196 | Sciota                         |                    1 | Monroe County         |            18354 |              nan |
| 197 | Sconnelltown                   |                    1 | Chester County        |            19380 |              nan |
| 198 | Scotch Hill                    |                    1 | Clarion County        |            16233 |              nan |
| 199 | Scotch Hollow                  |                    1 | Clearfield County     |            16666 |              nan |
| 200 | Scotia                         |                    1 | Allegheny County      |            15025 |              nan |
| 201 | Scotia                         |                    1 | Centre County         |              nan |              nan |
| 202 | Scotland                       |                    1 | Franklin County       |            17254 |              nan |
| 203 | Scotrun                        |                    1 | Monroe County         |            18355 |              nan |
| 204 | Scott                          |                    1 | Lackawanna County     |              nan |              nan |
| 205 | Scott Center                   |                    1 | Wayne County          |            18462 |              nan |
| 206 | Scott Haven                    |                    1 | Westmoreland County   |            15083 |              nan |
| 207 | Scott Township                 |                    1 | Allegheny County      |            15106 |              nan |
| 208 | Scott Township                 |                    1 | Columbia County       |              nan |              nan |
| 209 | Scott Township                 |                    1 | Lackawanna County     |              nan |              nan |
| 210 | Scott Township                 |                    1 | Lawrence County       |              nan |              nan |
| 211 | Scott Township                 |                    1 | Wayne County          |              nan |              nan |
| 212 | Scottdale                      |                    1 | Westmoreland County   |            15683 |              nan |
| 213 | Scottsville                    |                    1 | Beaver County         |            15001 |              nan |
| 214 | Scottsville                    |                    1 | Wyoming County        |              nan |              nan |
| 215 | Scranton                       |                    1 | Lackawanna County     |            18501 |               19 |
| 216 | Scranton Army Ammunition Plant |                    1 | Lackawanna County     |            18502 |              nan |
| 217 | Scrubgrass Township            |                    1 | Venango County        |              nan |              nan |
| 218 | Scullton                       |                    1 | Somerset County       |            15557 |              nan |
| 219 | Scyoc                          |                    1 | Perry County          |            17021 |              nan |
| 220 | Seagers                        |                    1 | Lycoming County       |            17756 |              nan |
| 221 | Seal                           |                    1 | Chester County        |              nan |              nan |
| 222 | Seamentown                     |                    1 | Indiana County        |            15729 |              nan |
| 223 | Seanor                         |                    1 | Somerset County       |            15953 |              nan |
| 224 | Searights                      |                    1 | Fayette County        |            15401 |              nan |
| 225 | Sears                          |                    1 | Philadelphia County   |              nan |              nan |
| 226 | Sebring                        |                    1 | Tioga County          |            16930 |              nan |
| 227 | Secane                         |                    1 | Delaware County       |            19018 |              nan |
| 228 | Secane Highlands               |                    1 | Delaware County       |            19018 |              nan |
| 229 | Sechrist Mill                  |                    1 | York County           |              nan |              nan |
| 230 | Sedgwick                       |                    1 | Adams County          |              nan |              nan |
| 231 | Sedgwick                       |                    1 | Philadelphia County   |              nan |              nan |
| 232 | Sedwicks Mill                  |                    1 | Butler County         |              nan |              nan |
| 233 | Seek                           |                    1 | Schuylkill County     |            18218 |              nan |
| 234 | Seelyville                     |                    1 | Wayne County          |            18431 |              nan |
| 235 | Seemsville                     |                    1 | Northampton County    |            18067 |              nan |
| 236 | Seger                          |                    1 | Westmoreland County   |            15627 |              nan |
| 237 | Seiberlingville                |                    1 | Lehigh County         |              nan |              nan |
| 238 | Seidersville                   |                    1 | Northampton County    |            18015 |              nan |
| 239 | Seiple                         |                    1 | Lehigh County         |              nan |              nan |
| 240 | Seipstown                      |                    1 | Lehigh County         |            18031 |              nan |
| 241 | Seipsville                     |                    1 | Northampton County    |              nan |              nan |
| 242 | Seisholtzville                 |                    1 | Berks County          |            18062 |              nan |
| 243 | Seitzland                      |                    1 | York County           |            17327 |              nan |
| 244 | Seitzville                     |                    1 | York County           |            17360 |              nan |
| 245 | Seldersville                   |                    1 | Cambria County        |              nan |              nan |
| 246 | Selea                          |                    1 | Huntingdon County     |            17264 |              nan |
| 247 | Selinsgrove                    |                    1 | Snyder County         |            17870 |              nan |
| 248 | Selinsgrove Junction           |                    1 | Northumberland County |              nan |              nan |
| 249 | Selkirk                        |                    1 | Warren County         |              nan |              nan |
| 250 | Sell                           |                    1 | Adams County          |              nan |              nan |
| 251 | Sellersville                   |                    1 | Bucks County          |            18960 |              nan |
| 252 | Seltzer                        |                    1 | Schuylkill County     |            17974 |              nan |
| 253 | Seltzer City                   |                    1 | Schuylkill County     |              nan |              nan |
| 254 | Seminole                       |                    1 | Armstrong County      |            16253 |              nan |
| 255 | Seneca                         |                    1 | Venango County        |            16346 |              nan |
| 256 | Seneca Valley                  |                    1 | Westmoreland County   |            15642 |              nan |
| 257 | Sereno                         |                    1 | Columbia County       |            17846 |              nan |
| 258 | Sergeant                       |                    1 | McKean County         |            16735 |              nan |
| 259 | Sergeant Township              |                    1 | McKean County         |              nan |              nan |
| 260 | Seven Fields                   |                    1 | Butler County         |            16046 |              nan |
| 261 | Seven Pines                    |                    1 | Juniata County        |            17082 |              nan |
| 262 | Seven Points                   |                    1 | Northumberland County |            17801 |              nan |
| 263 | Seven Springs                  |                    2 | Fayette County        |            15622 |              nan |
| 264 | Seven Springs                  |                    2 | Somerset County       |            15622 |              nan |
| 265 | Seven Stars                    |                    1 | Adams County          |            17307 |              nan |
| 266 | Seven Stars                    |                    1 | Chester County        |              nan |              nan |
| 267 | Seven Stars                    |                    1 | Huntingdon County     |              nan |              nan |
| 268 | Seven Stars                    |                    1 | Juniata County        |            17062 |              nan |
| 269 | Seven Stars                    |                    1 | Montgomery County     |              nan |              nan |
| 270 | Seven Valleys                  |                    1 | York County           |            17360 |              nan |
| 271 | Seward                         |                    1 | Westmoreland County   |            15954 |              nan |
| 272 | Sewickley                      |                    1 | Allegheny County      |            15143 |              nan |
| 273 | Sewickley Heights              |                    1 | Allegheny County      |            15143 |              nan |
| 274 | Sewickley Heights Township     |                    1 | Allegheny County      |              nan |              nan |
| 275 | Sewickley Hills                |                    1 | Allegheny County      |            15143 |              nan |
| 276 | Sewickley Township             |                    1 | Allegheny County      |              nan |              nan |
| 277 | Sewickley Township             |                    1 | Westmoreland County   |              nan |              nan |
| 278 | Seybertown                     |                    1 | Armstrong County      |            16028 |              nan |
| 279 | Seyfert                        |                    1 | Berks County          |            19508 |              nan |
| 280 | Seyoc                          |                    1 | Perry County          |              nan |              nan |
| 281 | Shackamaxon                    |                    1 | Philadelphia County   |              nan |              nan |
| 282 | Shade Gap                      |                    1 | Huntingdon County     |            17255 |              nan |
| 283 | Shade Township                 |                    1 | Somerset County       |              nan |              nan |
| 284 | Shade Valley                   |                    1 | Huntingdon County     |            17213 |              nan |
| 285 | Shadeland                      |                    1 | Crawford County       |            16435 |              nan |
| 286 | Shades Glen                    |                    1 | Luzerne County        |            18661 |              nan |
| 287 | Shadle                         |                    1 | Snyder County         |            15666 |              nan |
| 288 | Shado-wood Village             |                    1 | Indiana County        |            15701 |              nan |
| 289 | Shadow Shuttle                 |                    1 | Allegheny County      |            15235 |              nan |
| 290 | Shady Grove                    |                    1 | Franklin County       |            17256 |              nan |
| 291 | Shady Plain                    |                    1 | Armstrong County      |            15686 |              nan |
| 292 | Shadyside                      |                    1 | Allegheny County      |            15232 |              nan |
| 293 | Shaffer                        |                    1 | Clearfield County     |            15801 |              nan |
| 294 | Shaffers Corner                |                    1 | Fayette County        |            15416 |              nan |
| 295 | Shaffers Corners               |                    1 | Lackawanna County     |              nan |              nan |
| 296 | Shaffersville                  |                    1 | Huntingdon County     |            16652 |              nan |
| 297 | Shaft                          |                    1 | Schuylkill County     |            17976 |              nan |
| 298 | Shaft                          |                    1 | Somerset County       |              nan |              nan |
| 299 | Shafton                        |                    1 | Westmoreland County   |            15642 |              nan |
| 300 | Shainline                      |                    1 | Montgomery County     |              nan |              nan |
| 301 | Shaler Township                |                    1 | Allegheny County      |              nan |              nan |
| 302 | Shalercrest                    |                    1 | Allegheny County      |            15223 |              nan |
| 303 | Shamburg                       |                    1 | Clarion County        |              nan |              nan |
| 304 | Shamburg                       |                    1 | Venango County        |              nan |              nan |
| 305 | Shamokin                       |                    1 | Northumberland County |            17872 |              nan |
| 306 | Shamokin Dam                   |                    1 | Snyder County         |            17876 |              nan |
| 307 | Shamokin Township              |                    1 | Northumberland County |              nan |              nan |
| 308 | Shamrock                       |                    1 | Berks County          |              nan |              nan |
| 309 | Shamrock                       |                    1 | Fayette County        |            15401 |              nan |
| 310 | Shamrock                       |                    1 | Greene County         |              nan |              nan |
| 311 | Shamrock                       |                    1 | Northumberland County |              nan |              nan |
| 312 | Shamrock                       |                    1 | Somerset County       |              nan |              nan |
| 313 | Shamrock Station               |                    1 | Berks County          |            19539 |              nan |
| 314 | Shaner                         |                    1 | Westmoreland County   |            15642 |              nan |
| 315 | Shaners Crossroads             |                    1 | Westmoreland County   |            15656 |              nan |
| 316 | Shanesville                    |                    1 | Berks County          |            19512 |              nan |
| 317 | Shankles                       |                    1 | Clearfield County     |            15801 |              nan |
| 318 | Shanks Mill                    |                    1 | Adams County          |              nan |              nan |
| 319 | Shanksville                    |                    1 | Somerset County       |            15560 |              nan |
| 320 | Shanktown                      |                    1 | Indiana County        |            15777 |              nan |
| 321 | Shankweilers                   |                    1 | Lehigh County         |              nan |              nan |
| 322 | Shannon Heights                |                    1 | Allegheny County      |            15235 |              nan |
| 323 | Shannondale                    |                    1 | Clarion County        |            16240 |              nan |
| 324 | Shanor Heights                 |                    1 | Butler County         |            16001 |              nan |
| 325 | Shanor-Northvue                |                    1 | Butler County         |              nan |              nan |
| 326 | Sharon                         |                    1 | Mercer County         |            16146 |              nan |
| 327 | Sharon Center                  |                    1 | Potter County         |            16748 |              nan |
| 328 | Sharon Hill                    |                    1 | Delaware County       |            19079 |              nan |
| 329 | Sharon North                   |                    1 | Mercer County         |            16146 |              nan |
| 330 | Sharon Park                    |                    1 | Delaware County       |            19079 |              nan |
| 331 | Sharon Township                |                    1 | Potter County         |              nan |              nan |
| 332 | Sharpe                         |                    1 | Fulton County         |              nan |              nan |
| 333 | Sharpe Hill                    |                    1 | Allegheny County      |              nan |              nan |
| 334 | Sharps Hill                    |                    1 | Allegheny County      |            15215 |              nan |
| 335 | Sharpsburg                     |                    1 | Allegheny County      |            15215 |              nan |
| 336 | Sharpsburg                     |                    1 | Huntingdon County     |            17060 |              nan |
| 337 | Sharpsville                    |                    1 | Mercer County         |            16150 |              nan |
| 338 | Sharrertown                    |                    1 | Washington County     |            15427 |              nan |
| 339 | Shartlesville                  |                    1 | Berks County          |            19554 |              nan |
| 340 | Shavertown                     |                    1 | Delaware County       |            19062 |              nan |
| 341 | Shavertown                     |                    1 | Luzerne County        |            18708 |              nan |
| 342 | Shaw Junction                  |                    1 | Lawrence County       |              nan |              nan |
| 343 | Shaw Mine                      |                    1 | Washington County     |            15057 |              nan |
| 344 | Shaw Mines                     |                    1 | Somerset County       |            15552 |              nan |
| 345 | Shawanese                      |                    1 | Luzerne County        |            18654 |              nan |
| 346 | Shawmont                       |                    1 | Philadelphia County   |              nan |              nan |
| 347 | Shawmut                        |                    1 | Elk County            |            15823 |              nan |
| 348 | Shawnee                        |                    1 | Mifflin County        |              nan |              nan |
| 349 | Shawnee                        |                    1 | Monroe County         |              nan |              nan |
| 350 | Shawnee on Delaware            |                    1 | Monroe County         |            18356 |              nan |
| 351 | Shaws                          |                    1 | Crawford County       |            16335 |              nan |
| 352 | Shaws Corners                  |                    1 | Crawford County       |              nan |              nan |
| 353 | Shawsville                     |                    1 | Clearfield County     |              nan |              nan |
| 354 | Shawtown                       |                    1 | Westmoreland County   |            15642 |              nan |
| 355 | Shawville                      |                    1 | Clearfield County     |            16873 |              nan |
| 356 | Shawwood Park                  |                    1 | Butler County         |              nan |              nan |
| 357 | Shay                           |                    1 | Armstrong County      |            16226 |              nan |
| 358 | Shaytown                       |                    1 | Potter County         |              nan |              nan |
| 359 | Shazen                         |                    1 | Cambria County        |              nan |              nan |
| 360 | Sheakleyville                  |                    1 | Mercer County         |            16151 |              nan |
| 361 | Shearersburg                   |                    1 | Westmoreland County   |            15656 |              nan |
| 362 | Sheatown                       |                    1 | Luzerne County        |            18634 |              nan |
| 363 | Sheeder                        |                    1 | Chester County        |            19475 |              nan |
| 364 | Sheerlund Forest               |                    1 | Berks County          |            19607 |              nan |
| 365 | Sheffer                        |                    1 | York County           |              nan |              nan |
| 366 | Sheffield                      |                    1 | Warren County         |            16347 |              nan |
| 367 | Sheffield Junction             |                    1 | Forest County         |              nan |              nan |
| 368 | Sheffield Township             |                    1 | Warren County         |              nan |              nan |
| 369 | Shehawken                      |                    1 | Wayne County          |            18462 |              nan |
| 370 | Shelander Hollow               |                    1 | Warren County         |              nan |              nan |
| 371 | Shellsville                    |                    1 | Dauphin County        |            17028 |              nan |
| 372 | Shelltown                      |                    1 | Blair County          |              nan |              nan |
| 373 | Shelly                         |                    1 | Bucks County          |            18951 |              nan |
| 374 | Shellytown                     |                    1 | Blair County          |            16693 |              nan |
| 375 | Shelocta                       |                    1 | Indiana County        |            15774 |              nan |
| 376 | Shelvey                        |                    1 | Elk County            |            15846 |              nan |
| 377 | Shenandoah                     |                    1 | Schuylkill County     |            17976 |              nan |
| 378 | Shenandoah Heights             |                    1 | Schuylkill County     |            17976 |              nan |
| 379 | Shenandoah Junction            |                    1 | Schuylkill County     |            17976 |              nan |
| 380 | Shenango                       |                    1 | Mercer County         |            16125 |              nan |
| 381 | Shenango Township              |                    1 | Lawrence County       |              nan |              nan |
| 382 | Shenango Township              |                    1 | Mercer County         |              nan |              nan |
| 383 | Shenkel                        |                    1 | Chester County        |            19464 |              nan |
| 384 | Shenks Ferry                   |                    1 | York County           |            17309 |              nan |
| 385 | Shepherd Hills                 |                    1 | Lehigh County         |              nan |              nan |
| 386 | Shepherdstown                  |                    1 | Cumberland County     |            17055 |              nan |
| 387 | Sheppton                       |                    1 | Schuylkill County     |            18248 |              nan |
