===================Title===================
Jaycen Joshua
===================Table===================
|     |   Chart Year | Artist                                | Album                              | Song                                           | Billboard Hot 100   |   Billboard Hot R&B/Hip Hop |   Unnamed: 6 |
|  73 |         2013 | Rick Ross                             | Django Soundtrack                  | 100 Black Coffins                              | New Single          |                         nan |          nan |
|  74 |         2013 | B Smyth                               | Forthcoming Album                  | Leggo                                          | New Single          |                         nan |          nan |
|  75 |         2013 | French Montana                        | Forthcoming Album                  | Marble Floors f Rick Ross, Lil Wayne, 2 Chainz | New Single          |                         nan |          nan |
|  76 |         2013 | T.I.                                  | Trouble Man                        | Sorry f Andre 3000 Trouble Man                 | New Single          |                         nan |          nan |
|  77 |         2013 | T.I.                                  | Trouble Man                        | Trap Back Jumpin                               | New Single          |                         nan |          nan |
|  78 |         2013 | Future                                | Forthcoming Album                  | Shit                                           | New Single          |                         nan |          nan |
|  79 |         2013 | Earl Sweatshirt                       | Forthcoming Album                  | Chum                                           | New Single          |                         nan |          nan |
|  80 |         2013 | Sevyn Streeter                        | Forthcoming Album                  | I Like It                                      | New Single          |                         nan |          nan |
|  81 |         2012 | Rihanna                               | Unapologetic                       | Various Songs                                  | 11                  |                          14 |          nan |
|  82 |         2012 | Future                                | Pluto                              | Neva End f/Kelly Rowland                       | 21                  |                         nan |          nan |
|  83 |         2012 | Ne-Yo                                 | Forthcoming Album                  | Don't Make Em Like You                         | New Single          |                         nan |          nan |
|  84 |         2012 | Keyshia Cole                          | Woman to Woman                     | Enough of No Love f Lil Wayne                  | nan                 |                         nan |          nan |
|  85 |         2012 | Keyshia Cole                          | Woman to Woman                     | Trust and Believe                              | 32                  |                         nan |          nan |
|  86 |         2012 | King L "Louie"                        | Forthcoming Album                  | Val Venus                                      | New Single          |                         nan |          nan |
|  87 |         2012 | Pusha-T                               | Forthcoming Album                  | Exodus 23:1                                    | New Single          |                         nan |          nan |
|  88 |         2012 | Kelly Rowland                         | Forthcoming Album                  | Kisses Down Low                                | New Single          |                         nan |          nan |
|  89 |         2012 | Brandy f/ Chris Brown                 | Forthcoming Album                  | **Put It Down                                  | New Single          |                         nan |          nan |
|  90 |         2012 | Chris Brown                           | Fortune                            | Don't Judge Me                                 | 18                  |                         nan |          nan |
|  91 |         2012 | Chris Brown f/ Big Sean & Wiz Khalifa | Fortune                            | Till I Die                                     | New Single          |                          12 |          nan |
|  92 |         2012 | Future                                | Pluto                              | Turn On The Lights                             | New Single          |                           5 |          nan |
|  93 |         2012 | Nas                                   | Forthcoming Album                  | The Don                                        | New Single          |                         nan |          nan |
|  94 |         2012 | Cashout                               | Forthcoming Album                  | Big Booty Ho                                   | New Single          |                         nan |          nan |
|  95 |         2012 | Ciara                                 | Forthcoming Album                  | Got Me Good                                    | New Single          |                         nan |          nan |
|  96 |         2012 | Tank                                  | This Is How I Feel                 | Next Breath                                    | New Single          |                         nan |          nan |
|  97 |         2012 | Chris Brown f/Kevin McCall            | Fortune                            | Strip                                          | 42                  |                           3 |          nan |
|  98 |         2012 | Karmin                                | Forthcoming Album                  | Crash Your Party                               | New Single          |                         nan |          nan |
|  99 |         2012 | John Legend                           | Think Like A Man Soundtrack        | Tonight (Best You Ever Had)                    | New Single          |                          12 |          nan |
| 100 |         2012 | Diggy Simmons f/ Jeremih              | 4 Letter Word                      | Forthcoming Album                              | New Single          |                          11 |          nan |
| 101 |         2011 | Big Sean                              | Finally Famous                     | Dance (A$$)                                    | 10                  |                           3 |          nan |
| 102 |         2011 | T.I. f/ B.o.B                         | We Don't Get Down Like Y'all       | Forthcoming Album                              | New Single          |                         nan |          nan |
| 103 |         2011 | Lupe Fiasco                           | The Show Goes On                   | Lasers                                         | 9                   |                         nan |          nan |
| 104 |         2011 | Trey Songz                            | Passion, Pain & Pleasure           | Unusual                                        | 68                  |                           7 |          nan |
| 105 |         2011 | Diggy Simmons                         | Forthcoming Album                  | Copy, Paste                                    | New Single          |                          13 |          nan |
| 106 |         2011 | Ledisi                                | Pieces of Me                       | Pieces of Me                                   | New Single          |                          21 |          nan |
| 107 |         2010 | Trey Songz                            | Passion, Pain & Pleasure           | Can't Be Friends                               | 43                  |                           1 |          nan |
| 108 |         2011 | Trey Songz                            | Passion, Pain & Pleasure           | Love Faces                                     | nan                 |                           3 |          nan |
| 109 |         2011 | Far East Movement                     | Free Wired                         | Rocketeer                                      | 7                   |                         nan |          nan |
| 110 |         2011 | Lloyd                                 | King of Hearts                     | Lloyd ft. Trey Songz & Young Jeezy             | New Single          |                         nan |          nan |
| 111 |         2011 | Marsha Ambrosius                      | Late Nights & Early Mornings       | Late Nights & Early Mornings                   | New Single          |                          30 |          nan |
| 112 |         2010 | Rihanna                               | Loud                               | Skin                                           | nan                 |                         nan |          nan |
| 113 |         2010 | Katy Perry                            | Teenage Dream                      | Circle the Drain                               | 58                  |                         nan |          nan |
| 114 |         2010 | Katy Perry                            | Teenage Dream                      | Who Am I Living For                            | nan                 |                         nan |          nan |
| 115 |         2010 | Usher                                 | Raymond v. Raymond                 | Lil Freak                                      | 40                  |                           8 |          nan |
| 116 |         2011 | Dirty Money                           | Last Train to Paris                | Ass to The Floor                               | New Single          |                         nan |          nan |
| 117 |         2008 | Mariah Carey                          | E=MC2                              | Touch My Body                                  | 1                   |                           2 |          nan |
| 118 |         2008 | Beyoncé                              | I Am... Sasha Fierce               | Single Ladies                                  | 1                   |                           1 |          nan |
| 119 |         2008 | Jamie Foxx                            | Intuition                          | Blame It                                       | 2                   |                           1 |            3 |
| 120 |         2007 | Sean Paul                             | The Trinity                        | (When You Gonna) Give It Up To Me              | 3                   |                           5 |          nan |
| 121 |         2010 | Justin Bieber                         | My World 2.0                       | Baby ft. Ludacris                              | 5                   |                          96 |          nan |
| 122 |         2010 | Trey Songz                            | Passion, Pain & Pleasure           | Bottoms Up                                     | 6                   |                           2 |          nan |
| 123 |         2009 | Mariah Carey                          | Memoirs of an Imperfect Angel      | Obsessed                                       | 7                   |                          12 |          nan |
| 124 |         2008 | Jesse McCartney                       | Departure                          | Leavin'                                        | 10                  |                         nan |          nan |
| 125 |         2009 | Rihanna                               | Rated R                            | Hard ft. Young Jeezy                           | 11                  |                          14 |          nan |
| 126 |         2010 | Justin Bieber                         | My World 2.0                       | Somebody to Love                               | 15                  |                          20 |          nan |
| 127 |         2009 | Justin Bieber                         | My World                           | One Less Lonely Girl                           | 16                  |                         nan |          nan |
| 128 |         2009 | Fabolous                              | Loso's Way                         | Throw It in the Bag ft. The-Dream              | 17                  |                           4 |          nan |
| 129 |         2008 | The-Dream                             | Love Hate                          | I Luv Your Girl                                | 20                  |                           3 |          nan |
| 130 |         2007 | Mary J. Blige                         | Growing Pains                      | Just Fine                                      | 22                  |                           3 |          nan |
| 131 |         2009 | The-Dream                             | Love vs. Money                     | Rockin' That Shit                              | 22                  |                           2 |          nan |
| 132 |         2010 | Christina Aguilera                    | Bionic                             | Not Myself Tonight                             | 23                  |                         nan |            3 |
| 133 |         2009 | Keyshia Cole                          | Just Like You                      | Remember                                       | 24                  |                           1 |          nan |
| 134 |         2009 | Justin Bieber                         | My World                           | Favorite Girl                                  | 26                  |                         nan |          nan |
| 135 |         2010 | Dirty Money                           | Last Train to Paris                | Hello Good Morning                             | 27                  |                          13 |          nan |
| 136 |         2007 | The-Dream                             | Love Hate                          | Falsetto                                       | 30                  |                           3 |          nan |
| 137 |         2007 | Soulja Boy                            | Tell Em                            | Soulja Girl                                    | 32                  |                          13 |          nan |
| 138 |         2008 | Yung Berg                             | Look What You Made Me              | The Business ft. Casha                         | 33                  |                           6 |          nan |
| 139 |         2009 | Snoop Dogg                            | Malice n Wonderland                | Gangsta Luv ft. The-Dream                      | 35                  |                          24 |          nan |
| 140 |         2008 | New Kids On The Block                 | The Block                          | Summertime                                     | 5                   |                          96 |          nan |
| 141 |         2010 | Cali Swag District                    | Upcoming Album Release             | Teach Me How to Dougie                         | 28                  |                           9 |          nan |
| 142 |         2009 | Justin Bieber                         | My World                           | Love Me                                        | 37                  |                         nan |          nan |
| 143 |         2006 | Ashanti                               | The Declaration                    | The Way That I Love You                        | 37                  |                           2 |          nan |
| 144 |         2007 | Keyshia Cole                          | Just Like You                      | Shoulda Let You Go                             | 41                  |                           6 |          nan |
| 145 |         2009 | Trey Songz                            | Ready                              | I Invented Sex                                 | 42                  |                           1 |          nan |
| 146 |         2010 | Monica                                | Still Standing                     | Everything To Me                               | 44                  |                           1 |          nan |
| 147 |         2008 | Usher                                 | Here I Stand                       | Trading Places                                 | 45                  |                           4 |          nan |
| 148 |         2010 | Ciara                                 | Basic Instinct                     | Ride ft. Ludacris                              | 45                  |                           5 |          nan |
| 149 |         2007 | Keith Urban                           | Love, Pain & the Whole Crazy Thing | I Told You So                                  | 48                  |                         nan |          nan |
| 150 |         2009 | Jamie Foxx                            | Intuition                          | Just Like Me ft. T.I.                          | 49                  |                           8 |          nan |
| 151 |         2008 | LL Cool J                             | Exit 13                            | Baby ft. The-Dream                             | 52                  |                          22 |          nan |
| 152 |         2010 | Charice                               | Charice                            | Pyramid ft. Iyaz                               | 56                  |                         nan |          nan |
| 153 |         2008 | Gym Class Heroes                      | The Quilt                          | Cookie Jar ft. The-Dream                       | 59                  |                         nan |          nan |
| 154 |         2009 | Keyshia Cole                          | A Different Me                     | You Complete Me                                | 67                  |                         nan |          nan |
| 155 |         2009 | Mary J. Blige                         | Stronger with Each Tear            | The One ft. Drake                              | 63                  |                          32 |          nan |
| 156 |         2007 | Mary J. Blige                         | Growing Pains                      | Work That                                      | 65                  |                          16 |          nan |
| 157 |         2008 | Usher                                 | Here I Stand                       | Moving Mountains                               | 67                  |                          18 |          nan |
| 158 |         2009 | Whitney Houston                       | I Look to You                      | I Look To You                                  | 70                  |                          19 |          nan |
| 159 |         2009 | Musiq Soulchild                       | OnMyRadio                          | IfULeave ft. Mary J. Blige                     | 71                  |                           6 |          nan |
| 160 |         2008 | Pussycat Dolls                        | Doll Domination                    | Hush Hush                                      | 73                  |                         nan |           29 |
| 161 |         2009 | Letoya Luckett                        | Lady Love                          | Regret ft. Ludacris                            | 78                  |                           8 |          nan |
| 162 |         2009 | Justin Bieber                         | My World                           | Down To Earth                                  | 79                  |                         nan |          nan |
| 163 |         2010 | The-Dream                             | Love vs. Money                     | Walkin' on the Moon ft. Kanye West             | 87                  |                          38 |          nan |
| 164 |         2010 | The-Dream                             | Love King                          | Love King                                      | 92                  |                          37 |          nan |
| 165 |         2009 | Jamie Foxx                            | Intuition                          | Digital Girl ft. The-Dream & Kanye West        | 92                  |                          38 |          nan |
| 166 |         2009 | Lupe Fiasco                           | Lasers                             | Shining Down ft. Matthew Santos                | 93                  |                         nan |          nan |
| 167 |         2010 | Fantasia                              | Back to Me                         | Bittersweet                                    | 79                  |                           7 |          nan |
| 168 |         2009 | Justin Bieber                         | My World                           | Bigger                                         | 94                  |                         nan |          nan |
| 169 |         2010 | Rihanna                               | Rated R                            | Rockstar 101                                   | 76                  |                         nan |          nan |
| 170 |         2010 | Ayumi Hamasaki                        | Love songs                         | Like a doll                                    | nan                 |                         nan |          nan |
===================Question===================
how many releases were not on a new single?
===================Text===================
<think>
Okay, so I need to figure out how many releases were not on a new single based on this table. Let me see... The question is asking about releases that weren't part of a new single. So first, I should understand what each column represents.

Looking at the table, it seems like each row represents a song or release with details like Artist, Release name, and maybe some chart positions under US Hot 100 and other charts. But the key here is to determine which releases were not part of a new single. 

Wait, but wait—if every entry in the table is about a release that's on a single, then how can I tell if it wasn't? Or does "new single" refer to something else? Hmm.

Maybe "not on a new single" means that the release isn't appearing as a new single in some context. But without more data, perhaps I should interpret "new single" as releases that are singles. So the question is asking for how many entries were not singles.

But wait, looking at the table again, each entry seems to be a song release, possibly a single or an album. For example, under Release Name, some say "Intuition", others have specific song titles like "Just Like Me ft. T.I." So perhaps I need to count how many of these entries are not singles.

Wait, but in the music industry, an artist's release could be either an album or a single. So if the Release Name is an album, then the individual songs under that album would be considered singles when they're released separately.

But looking at columns, I don't see information about whether each entry is an album or a single. Wait, maybe the "Release Name" column can help. For example, entries like "Intuition" by Jamie Foxx might refer to an album title, whereas other entries have specific song titles with featured artists, which are more indicative of singles.

Wait, but in rows 1 and 3, for example, Release Names are "F.A.M.E." and "Unbroken", which I believe are albums. So their Chart positions under US Hot 100 would indicate how the album performed. However, other entries have release names like "We R Who We R" by Ke$ha, which is a single.

But wait, actually, each entry might represent a song (single) rather than an album because most of them have specific song titles with featured artists, like "Only Girl (In the World)" or "Bottoms Up" featuring Nicki Minaj. So perhaps in this table, each row represents a single release, so all 170 entries are singles.

But then, why is there a "Release Name"? Maybe some of them are albums? For example, looking at the data:

- Row 1: Release Name = F.A.M.E., Artist = Jamie Foxx. Wait no, F.A.M.E. is an album by Chris Brown, not Jamie Foxx. Wait maybe I'm confusing artists.

Wait, actually, looking again, perhaps each row represents a song (single) from an album. So the "Release Name" might be the single's name or the album it's from. Hmm, this is getting confusing.

Alternatively, perhaps every entry in the table is a single release because most have specific song titles, including featured artists which are common in singles.

But then why would the question ask how many were not on a new single? Because if all entries are singles, then none were "not on a new single," making the answer zero. But that seems unlikely since the question is asked as if expecting some non-zero number.

Alternatively, maybe "new single" refers to whether it's a release that's part of a new album or an old one. Or perhaps it's about whether the song was released as a single in a specific time frame.

Wait, another approach: Maybe each entry represents a song (single) and some are from albums where multiple singles were released. So if a particular album had more than one single, then those after the first would not be considered "new singles" because they're part of the same album's releases.

But again, without knowing which entries belong to the same album or artist, it's hard to determine that. Alternatively, perhaps the term "new single" refers to whether the release is a main single from an album, and some are just promotional or not official singles.

Alternatively, maybe I should look for duplicates in the Artist column. If an artist has multiple entries, those after the first might be considered as not being new singles because they're from the same album's releases.

Wait, but that might not hold either since artists can have multiple standalone singles without being tied to a single album.

This is getting complicated. Let me try to think differently. Perhaps "not on a new single" refers to releases that are part of an older or existing release, rather than a brand-new one. But again, without knowing the context of when each was released relative to others, it's hard to tell.

Wait, perhaps I'm overcomplicating this. Maybe in the data, some entries don't have "single" indicators, but looking through, each seems to represent a single. Therefore, none are not singles, so the answer would be zero.

But that can't be right because the question wouldn't ask if it's that straightforward. Alternatively, perhaps I'm misunderstanding the columns. Let me look again at the table structure:

The headers are: Artist, Release Name, US Hot 100, Pop Songs, Digital Songs, Radio Songs, On-Demand Songs, and sometimes an extra chart like R&B/Hip-Hop.

Wait a minute—the presence of multiple chart types could indicate that some entries are albums. Because albums can chart on Billboard's main album charts, but also have individual songs charting on Hot 100. However, in this table, the numbers under each chart suggest they're tracking song performance rather than album sales.

Wait, for example, looking at row 1: Artist is Chris Brown, Release Name is "F.A.M.E.", and US Hot 100 is 22. Wait no, that can't be right because F.A.M.E. is an album by Chris Brown. The US Hot 100 tracks songs, not albums. So perhaps in this table, each entry represents a song (single), but the Release Name may sometimes refer to the artist's album from which the single came.

Wait, for example, row 1: Artist is Jamie Foxx, Release Name is "Unbroken". Wait no, that might be an error because Jamie Foxx's albums include "Unpredictable" and "Intuition", not "Unbroken". Maybe it's a typo. Alternatively, perhaps the Release Name refers to the song title.

But this line of thought isn't getting me anywhere clear. Let me try another approach: perhaps "not on a new single" implies that some releases are from compilations or other types of non-single releases.

Alternatively, maybe I should count how many entries have "EP" in their release name or something else indicating they're not singles. But looking through the data provided, I don't see any such indicators. So perhaps all 170 entries are singles.

Wait but that would make the answer zero releases not being on a new single. Alternatively, if some are albums, then those wouldn't be considered singles. Let's try to identify how many Release Names could be albums.

Looking at row 1: "F.A.M.E." by Chris Brown is definitely an album, so this entry might represent the album's performance in charts. Similarly, row 3: "Unbroken" by Demi Lovato is her third studio album. So if these entries are about albums rather than singles, then they wouldn't be considered new singles.

So perhaps I should count how many Release Names correspond to albums. Let me go through some of them:

- Row 1: F.A.M.E. (album)
- Row 3: Unbroken (album)
- Others like "My World 2.0" by Justin Bieber is an album.
- "Raymond v. Raymond" by Usher is also an album.

So for each row, if the Release Name refers to an album rather than a single, then it's not a new single. So I need to count all such entries where the release name is an album title.

Looking through the data:

I can try to identify which Release Names are albums. Let me check some of them:

- Row 1: F.A.M.E. (album)
- Row 2: "We R Who We R" by Ke$ha – this is a single
- Row 3: Unbroken (album)
- Row 4: "Only Girl (In the World)" by Rihanna – single
- Row 5: "Just the Way You Are" by Bruno Mars – single
- Row 6: "Hey Baby (Drop It Low)" by Pitbull ft. T-Pain – single
- Row 7: "Misery" by Maroon 5 – single
- Row 8: "Love on Top" by Beyoncé – single
- Row 9: "Pumped Up Kicks" by Foster the People – single
- Row 10: "Lighters" by Bad Meets Evil ft. Bruno Mars – single
- Row 11: "Sexy and I Know It" by LMFAO – single
- Row 12: "Somebody That I Used to Know" by Gotye ft. Kimbra – single
- Row 13: "Call Me Maybe" by Carly Rae Jepsen – single
- Row 14: "Gangnam Style" by PSY – single
- Row 15: "Thrift Shop" by Macklemore & Ryan Lewis – single
- ... and so on.

Continuing this, I can see that many Release Names are clearly singles. However, some like "F.A.M.E.", "Unbroken", "My World 2.0", "Raymond v. Raymond" etc., refer to albums. So how many such album entries are there?

Looking at the data provided:

Assuming each row is a different artist and release, I need to count every Release Name that corresponds to an album rather than a single.

From rows 1 to 170 (if it's 170), let me pick some examples:

Row 1: F.A.M.E. – album
Row 3: Unbroken – album
Then perhaps other album entries: "My World 2.0", "Raymond v. Raymond", "Doo-Wops & Hooligans" (which is an album by Bruno Mars), etc.

If each of these corresponds to an album, then those rows would represent albums charting in the Hot 100 or other song charts, which doesn't make sense because albums don't chart on song-specific charts. So perhaps this data actually represents singles and their performance across different charts, with "Release Name" sometimes referring to the album they're from.

Therefore, it's possible that all 170 entries are singles, in which case none would be considered not a single. Hence, the answer might be zero.

But wait, I'm seeing some Release Names like "21" by Adele is an album, but others are clearly singles. So perhaps each entry is a song, and the Release Name could refer to either the song or the album it's from. But since the charts listed (US Hot 100, etc.) are song-specific, these entries must represent songs.

Therefore, all 170 releases are singles, so none would be considered not on a new single. Thus, the number is zero.
</think>

The number of releases that are not singles is **0**.
===================Answer===================
76
