===================Title===================
List of cities and towns in Romania
===================Table===================
|     | City                   | County             | Population (2011)   | Population (2002)   |   Altitude (m) | Year status\ngranted* or\nfirst attested†   |
|  36 | Zalău                 | Sălaj             | 56,202              | 63,305              |            nan | 1473*                                       |
|  37 | Sfântu Gheorghe       | Covasna            | 56,006              | 61,512              |            nan | 1332†/1832*                                 |
|  38 | Bârlad                | Vaslui             | 55,837              | 69,183              |            nan | nan                                         |
|  39 | Vaslui                 | Vaslui             | 55,407              | 70,267              |            nan | nan                                         |
|  40 | Roman                  | Neamț             | 50,713              | 69,483              |            nan | nan                                         |
|  41 | Turda                  | Cluj               | 47,744              | 55,770              |            nan | 1075†                                       |
|  42 | Mediaș                | Sibiu              | 47,204              | 55,203              |            nan | 1359*                                       |
|  43 | Slobozia               | Ialomița          | 45,891              | 52,677              |            nan | nan                                         |
|  44 | Alexandria             | Teleorman          | 45,434              | 50,591              |            nan | 1840*                                       |
|  45 | Voluntari              | Ilfov              | 42,944              | 30,016              |            nan | 2004*                                       |
|  46 | Lugoj                  | Timiș             | 40,361              | 44,571              |            nan | nan                                         |
|  47 | Medgidia               | Constanța         | 39,780              | 43,867              |            nan | nan                                         |
|  48 | Onești                | Bacău             | 39,172              | 51,681              |            nan | 1956*                                       |
|  49 | Miercurea Ciuc         | Harghita           | 38,966              | 41,852              |            nan | nan                                         |
|  50 | Sighetu Marmației     | Maramureș         | 37,640              | 41,246              |            nan | nan                                         |
|  51 | Petroșani             | Hunedoara          | 37,160              | 45,447              |            nan | 1930*                                       |
|  52 | Mangalia               | Constanța         | 36,364              | 40,037              |            nan | nan                                         |
|  53 | Tecuci                 | Galați            | 34,871              | 42,012              |            nan | nan                                         |
|  54 | Odorheiu Secuiesc      | Harghita           | 34,257              | 36,926              |            nan | nan                                         |
|  55 | Râmnicu Sărat        | Buzău             | 33,843              | 38,805              |            nan | nan                                         |
|  56 | Pașcani               | Iași              | 33,745              | 42,172              |            nan | nan                                         |
|  57 | Dej                    | Cluj               | 33,497              | 38,478              |            nan | nan                                         |
|  58 | Reghin                 | Mureș             | 33,281              | 36,023              |            nan | nan                                         |
|  59 | Năvodari              | Constanța         | 32,981              | 32,400              |            nan | 1968*                                       |
|  60 | Câmpina               | Prahova            | 32,935              | 38,758              |            nan | 1864*                                       |
|  61 | Mioveni                | Argeș             | 31,998              | 35,849              |            nan | 1989*                                       |
|  62 | Câmpulung             | Argeș             | 31,767              | 38,285              |            nan | nan                                         |
|  63 | Caracal                | Olt                | 30,954              | 34,603              |            nan | 1538†                                       |
|  64 | Săcele                | Brașov            | 30,798              | 29,967              |            nan | 1971*                                       |
|  65 | Făgăraș             | Brașov            | 30,714              | 36,121              |            nan | 1291†                                       |
|  66 | Fetești               | Ialomița          | 30,217              | 33,197              |            nan | 1965*                                       |
|  67 | Sighișoara            | Mureș             | 28,102              | 32,287              |            nan | 1367*                                       |
|  68 | Borșa                 | Maramureș         | 27,611              | 27,247              |            nan | 1968*                                       |
|  69 | Roșiorii de Vede      | Teleorman          | 27,416              | 31,873              |            nan | nan                                         |
|  70 | Curtea de Argeș       | Argeș             | 27,359              | 32,626              |            nan | 1330†                                       |
|  71 | Sebeș                 | Alba               | 27,019              | 29,475              |            nan | nan                                         |
|  72 | Huși                  | Vaslui             | 26,266              | 33,320              |            nan | nan                                         |
|  73 | Fălticeni             | Suceava            | 25,723              | 33,867              |            nan | nan                                         |
|  74 | Pantelimon             | Ilfov              | 25,596              | 16,019              |            nan | 2005*                                       |
|  75 | Oltenița              | Călărași        | 24,822              | 31,434              |            nan | nan                                         |
|  76 | Turnu Măgurele        | Teleorman          | 24,772              | 30,187              |            nan | nan                                         |
|  77 | Caransebeș            | Caraș-Severin     | 24,689              | 31,199              |            nan | nan                                         |
|  78 | Dorohoi                | Botoșani          | 24,309              | 31,073              |            nan | nan                                         |
|  79 | Vulcan                 | Hunedoara          | 24,160              | 33,186              |            nan | 1953*                                       |
|  80 | Rădăuți             | Suceava            | 23,822              | 32,151              |            nan | nan                                         |
|  81 | Zărnești             | Brașov            | 23,476              | 26,520              |            nan | 1951*                                       |
|  82 | Lupeni                 | Hunedoara          | 23,390              | 31,409              |            nan | 1941*/1960*                                 |
|  83 | Aiud                   | Alba               | 22,876              | 28,909              |            nan | nan                                         |
|  84 | Petrila                | Hunedoara          | 22,692              | 28,742              |            nan | 1956*                                       |
|  85 | Câmpia Turzii         | Cluj               | 22,223              | 29,852              |            nan | nan                                         |
|  86 | Buftea                 | Ilfov              | 22,178              | 19,617              |            nan | 1968*                                       |
|  87 | Târnăveni            | Mureș             | 22,075              | 29,828              |            nan | 1912*                                       |
|  88 | Popești-Leordeni      | Ilfov              | 21,895              | 15,115              |            nan | 2004*                                       |
|  89 | Moinești              | Bacău             | 21,787              | 25,532              |            nan | nan                                         |
|  90 | Codlea                 | Brașov            | 21,708              | 24,814              |            nan | 1950*                                       |
|  91 | Cugir                  | Alba               | 21,376              | 30,244              |            nan | 1960*                                       |
|  92 | Carei                  | Satu Mare          | 21,112              | 25,590              |            nan | 1871*                                       |
|  93 | Gherla                 | Cluj               | 20,982              | 24,232              |            nan | nan                                         |
|  94 | Blaj                   | Alba               | 20,630              | 21,819              |            nan | 1271†                                       |
|  95 | Comănești            | Bacău             | 19,568              | 26,237              |            nan | 1952*                                       |
|  96 | Motru                  | Gorj               | 19,079              | 25,860              |            nan | 1966*                                       |
|  97 | Târgu Neamț          | Neamț             | 18,695              | 22,634              |            nan | nan                                         |
|  98 | Moreni                 | Dâmbovița        | 18,687              | 22,868              |            nan | 1948*                                       |
|  99 | Târgu Secuiesc        | Covasna            | 18,491              | 22,251              |            nan | nan                                         |
| 100 | Gheorgheni             | Harghita           | 18,377              | 21,245              |            nan | nan                                         |
| 101 | Orăștie              | Hunedoara          | 18,227              | 24,354              |            nan | nan                                         |
| 102 | Balș                  | Olt                | 18,164              | 23,147              |            nan | 1921*                                       |
| 103 | Băicoi                | Prahova            | 17,981              | 20,234              |            nan | 1948*                                       |
| 104 | Drăgășani           | Vâlcea            | 17,871              | 22,499              |            nan | nan                                         |
| 105 | Salonta                | Bihor              | 17,735              | 20,006              |            nan | nan                                         |
| 106 | Băilești             | Dolj               | 17,437              | 22,231              |            nan | 1921*                                       |
| 107 | Calafat                | Dolj               | 17,336              | 21,227              |            nan | nan                                         |
| 108 | Cernavodă             | Constanța         | 17,022              | 20,514              |            nan | nan                                         |
| 109 | Filiași               | Dolj               | 16,900              | 20,159              |            nan | 1968*                                       |
| 110 | Câmpulung Moldovenesc | Suceava            | 16,722              | 21,862              |            nan | 1866*                                       |
| 111 | Corabia                | Olt                | 16,441              | 21,932              |            nan | 1871*                                       |
| 112 | Adjud                  | Vrancea            | 16,045              | 20,776              |            nan | nan                                         |
| 113 | Breaza                 | Prahova            | 15,928              | 18,863              |            nan | 1952*                                       |
| 114 | Bocșa                 | Caraș-Severin     | 15,842              | 19,023              |            nan | 1960*                                       |
| 115 | Marghita               | Bihor              | 15,770              | 18,650              |            nan | 1967*                                       |
| 116 | Baia Sprie             | Maramureș         | 15,476              | 15,735              |            nan | nan                                         |
| 117 | Bragadiru              | Ilfov              | 15,329              | 8,165               |            nan | 2005*                                       |
| 118 | Luduș                 | Mureș             | 15,328              | 18,647              |            nan | 1960*                                       |
| 119 | Urziceni               | Ialomița          | 15,308              | 19,088              |            nan | nan                                         |
| 120 | Vișeu de Sus          | Maramureș         | 15,037              | 18,444              |            nan | 1956*                                       |
| 121 | Râșnov               | Brașov            | 15,022              | 16,242              |            nan | nan                                         |
| 122 | Buhuși                | Bacău             | 14,562              | 21,993              |            nan | 1930*                                       |
| 123 | Ștefănești          | Argeș             | 14,541              | 12,983              |            nan | 2004*                                       |
| 124 | Brad                   | Hunedoara          | 14,495              | 18,075              |            nan | 1941*                                       |
| 125 | Șimleu Silvaniei      | Sălaj             | 14,436              | 17,053              |            nan | nan                                         |
| 126 | Vatra Dornei           | Suceava            | 14,429              | 17,864              |            nan | 1907*                                       |
| 127 | Mizil                  | Prahova            | 14,312              | 17,075              |            nan | 1830*                                       |
| 128 | Cisnădie              | Sibiu              | 14,282              | 17,204              |            nan | 1948*                                       |
| 129 | Pucioasa               | Dâmbovița        | 14,254              | 16,489              |            nan | 1929*                                       |
| 130 | Chitila                | Ilfov              | 14,184              | 12,643              |            nan | 2005*                                       |
| 131 | Zimnicea               | Teleorman          | 14,058              | 16,787              |            nan | nan                                         |
| 132 | Toplița               | Harghita           | 13,929              | 16,839              |            nan | 1956*                                       |
| 133 | Otopeni                | Ilfov              | 13,861              | 10,515              |            nan | 2000*                                       |
| 134 | Ovidiu                 | Constanța         | 13,847              | 13,458              |            nan | 1989*                                       |
| 135 | Gura Humorului         | Suceava            | 13,667              | 16,740              |            nan | 1904*                                       |
| 136 | Găești               | Dâmbovița        | 13,317              | 16,598              |            nan | nan                                         |
| 137 | Vicovu de Sus          | Suceava            | 13,308              | 14,125              |            nan | 2004*                                       |
| 138 | Țăndărei            | Ialomița          | 13,219              | 14,591              |            nan | 1968*                                       |
| 139 | Ocna Mureș            | Alba               | 13,036              | 15,697              |            nan | 1956*                                       |
| 140 | Bolintin-Vale          | Giurgiu            | 12,929              | 11,464              |            nan | 1989*                                       |
| 141 | Avrig                  | Sibiu              | 12,815              | 16,215              |            nan | 1989*                                       |
| 142 | Pecica                 | Arad               | 12,762              | 13,024              |            nan | 2004*                                       |
| 143 | Simeria                | Hunedoara          | 12,556              | 14,571              |            nan | 1956*                                       |
| 144 | Moldova Nouă          | Caraș-Severin     | 12,350              | 15,112              |            nan | 1968*                                       |
| 145 | Sânnicolau Mare       | Timiș             | 12,312              | 13,007              |            nan | 1942*                                       |
| 146 | Vălenii de Munte      | Prahova            | 12,257              | 13,898              |            nan | nan                                         |
| 147 | Dărmănești          | Bacău             | 12,247              | 14,232              |            nan | 1989*                                       |
| 148 | Dăbuleni              | Dolj               | 12,182              | 13,888              |            nan | 2004*                                       |
| 149 | Comarnic               | Prahova            | 11,970              | 13,532              |            nan | 1968*                                       |
| 150 | Negrești-Oaș         | Satu Mare          | 11,867              | 16,356              |            nan | 1965*                                       |
| 151 | Rovinari               | Gorj               | 11,816              | 12,603              |            nan | 1981*                                       |
| 152 | Scornicești           | Olt                | 11,766              | 13,751              |            nan | 1989*                                       |
| 153 | Târgu Lăpuș         | Maramureș         | 11,744              | 14,139              |            nan | 1968*                                       |
| 154 | Săcueni               | Bihor              | 11,526              | 11,665              |            nan | 2004*                                       |
| 155 | Videle                 | Teleorman          | 11,508              | 12,498              |            nan | nan                                         |
| 156 | Sântana               | Arad               | 11,428              | 12,936              |            nan | 2003*                                       |
| 157 | Oravița               | Caraș-Severin     | 11,382              | 15,222              |            nan | nan                                         |
| 158 | Târgu Ocna            | Bacău             | 11,300              | 14,184              |            nan | 1774*                                       |
| 159 | Călan                 | Hunedoara          | 11,279              | 14,714              |            nan | 1961*                                       |
| 160 | Boldești-Scăeni      | Prahova            | 11,137              | 11,505              |            nan | nan                                         |
| 161 | Măgurele              | Ilfov              | 11,041              | 9,200               |            nan | 2005*                                       |
| 162 | Hârlău               | Iași              | 10,905              | 12,260              |            nan | 1968*                                       |
| 163 | Drăgănești-Olt      | Olt                | 10,894              | 13,181              |            nan | nan                                         |
| 164 | Jimbolia               | Timiș             | 10,808              | 10,497              |            nan | 1950*                                       |
| 165 | Mărășești          | Vrancea            | 10,671              | 13,070              |            nan | nan                                         |
| 166 | Beiuș                 | Bihor              | 10,667              | 12,089              |            nan | 1451*                                       |
| 167 | Beclean                | Bistrița-Năsăud | 10,628              | 12,033              |            nan | 1968*                                       |
| 168 | Urlați                | Prahova            | 10,541              | 11,858              |            nan | nan                                         |
| 169 | Oțelu Roșu           | Caraș-Severin     | 10,510              | 13,128              |            nan | 1960*                                       |
| 170 | Strehaia               | Mehedinți         | 10,506              | 12,564              |            nan | 1921*                                       |
| 171 | Târgu Frumos          | Iași              | 10,475              | 13,763              |            nan | nan                                         |
| 172 | Orșova                | Mehedinți         | 10,441              | 15,379              |            nan | nan                                         |
| 173 | Sinaia                 | Prahova            | 10,410              | 14,636              |            nan | 1880*                                       |
| 174 | Jibou                  | Sălaj             | 10,407              | 12,283              |            nan | 1968*                                       |
| 175 | Sovata                 | Mureș             | 10,385              | 12,219              |            nan | 1952*                                       |
| 176 | Costești              | Argeș             | 10,375              | 12,091              |            nan | 1968*                                       |
| 177 | Ianca                  | Brăila            | 10,343              | 12,886              |            nan | 1989*                                       |
| 178 | Lipova                 | Arad               | 10,313              | 11,491              |            nan | 1440*                                       |
| 179 | Dolhasca               | Suceava            | 10,298              | 11,009              |            nan | 2004*                                       |
| 180 | Topoloveni             | Argeș             | 10,219              | 10,329              |            nan | 1968*                                       |
| 181 | Murfatlar              | Constanța         | 10,216              | 10,857              |            nan | 1989*                                       |
| 182 | Nehoiu                 | Buzău             | 10,211              | 12,650              |            nan | 1989*                                       |
| 183 | Flămânzi             | Botoșani          | 10,136              | 11,799              |            nan | 2004*                                       |
| 184 | Covasna                | Covasna            | 10,114              | 12,306              |            nan | 1952*                                       |
| 185 | Aleșd                 | Bihor              | 10,066              | 10,852              |            nan | 1968*                                       |
| 186 | Valea lui Mihai        | Bihor              | 9,902               | 10,665              |            nan | 1844*/1930*/1989*                           |
| 187 | Darabani               | Botoșani          | 9,893               | 12,002              |            nan | 1926*/1968*                                 |
| 188 | Hațeg                 | Hunedoara          | 9,685               | 12,507              |            nan | nan                                         |
| 189 | Sângeorz-Băi         | Bistrița-Năsăud | 9,679               | 10,702              |            nan | nan                                         |
| 190 | Titu                   | Dâmbovița        | 9,658               | 10,711              |            nan | 1968*                                       |
| 191 | Cristuru Secuiesc      | Harghita           | 9,650               | 11,291              |            nan | 1956*                                       |
| 192 | Hârșova              | Constanța         | 9,642               | 11,198              |            nan | nan                                         |
| 193 | Liteni                 | Suceava            | 9,596               | 9,851               |            nan | 2004*                                       |
| 194 | Năsăud               | Bistrița-Năsăud | 9,587               | 11,365              |            nan | nan                                         |
| 195 | Podu Iloaiei           | Iași              | 9,573               | 9,739               |            nan | 2005*                                       |
| 196 | Eforie                 | Constanța         | 9,473               | 9,294               |            nan | nan                                         |
| 197 | Odobești              | Vrancea            | 9,364               | 8,000               |            nan | nan                                         |
| 198 | Huedin                 | Cluj               | 9,346               | 9,955               |            nan | 1961*                                       |
| 199 | Ineu                   | Arad               | 9,260               | 10,416              |            nan | 1967*                                       |
| 200 | Salcea                 | Suceava            | 9,015               | 8,719               |            nan | 2004*                                       |
| 201 | Seini                  | Maramureș         | 8,987               | 9,439               |            nan | 1989*                                       |
| 202 | Uricani                | Hunedoara          | 8,972               | 12,177              |            nan | 1965*                                       |
| 203 | Babadag                | Tulcea             | 8,940               | 10,878              |            nan | nan                                         |
| 204 | Bumbești-Jiu          | Gorj               | 8,932               | 11,882              |            nan | 1989*                                       |
| 205 | Bușteni               | Prahova            | 8,894               | 11,787              |            nan | 1946*                                       |
| 206 | Agnita                 | Sibiu              | 8,732               | 12,115              |            nan | 1950*                                       |
| 207 | Iernut                 | Mureș             | 8,705               | 9,833               |            nan | 1989*                                       |
| 208 | Baraolt                | Covasna            | 8,672               | 10,464              |            nan | nan                                         |
| 209 | Tășnad               | Satu Mare          | 8,631               | 10,188              |            nan | 1968*                                       |
| 210 | Roznov                 | Neamț             | 8,593               | 9,171               |            nan | 2003*                                       |
| 211 | Băbeni                | Vâlcea            | 8,451               | 9,475               |            nan | 2002*                                       |
| 212 | Negrești              | Vaslui             | 8,380               | 10,481              |            nan | 1968*                                       |
| 213 | Recaș                 | Timiș             | 8,336               | 8,560               |            nan | 2004*                                       |
| 214 | Măcin                 | Tulcea             | 8,245               | 11,803              |            nan | nan                                         |
| 215 | Târgu Cărbunești    | Gorj               | 8,034               | 9,338               |            nan | 1968*                                       |
| 216 | Chișineu-Criș        | Arad               | 7,987               | 8,724               |            nan | 1968*                                       |
| 217 | Siret                  | Suceava            | 7,976               | 10,003              |            nan | nan                                         |
| 218 | Mihăilești           | Giurgiu            | 7,923               | 7,161               |            nan | nan                                         |
| 219 | Budești               | Călărași        | 7,725               | 9,596               |            nan | 1989*                                       |
| 220 | Plopeni                | Prahova            | 7,718               | 10,083              |            nan | 1968*                                       |
| 221 | Panciu                 | Vrancea            | 7,664               | 9,834               |            nan | 1956*                                       |
| 222 | Călimănești         | Vâlcea            | 7,622               | 8,923               |            nan | 1927*                                       |
| 223 | Fieni                  | Dâmbovița        | 7,587               | 8,092               |            nan | 1968*                                       |
| 224 | Șomcuta Mare          | Maramureș         | 7,565               | 7,708               |            nan | 2004*                                       |
| 225 | Întorsura Buzăului   | Covasna            | 7,528               | 9,081               |            nan | 1968*                                       |
| 226 | Zlatna                 | Alba               | 7,490               | 9,254               |            nan | nan                                         |
| 227 | Anina                  | Caraș-Severin     | 7,485               | 10,594              |            nan | 1952*                                       |
| 228 | Curtici                | Arad               | 7,453               | 9,762               |            nan | 1968*                                       |
| 229 | Nădlac                | Arad               | 7,398               | 8,422               |            nan | 1968*                                       |
| 230 | Dumbrăveni            | Sibiu              | 7,388               | 8,812               |            nan | nan                                         |
| 231 | Victoria               | Brașov            | 7,386               | 9,059               |            nan | 1954*                                       |
| 232 | Amara                  | Ialomița          | 7,345               | 7,627               |            nan | 2004*                                       |
| 233 | Pătârlagele          | Buzău             | 7,304               | 8,290               |            nan | 2004*                                       |
| 234 | Techirghiol            | Constanța         | 7,292               | 7,388               |            nan | nan                                         |
| 235 | Pogoanele              | Buzău             | 7,275               | 7,614               |            nan | 1989*                                       |
| 236 | Ulmeni                 | Maramureș         | 7,270               | 7,153               |            nan | 2004*                                       |
| 237 | Câmpeni               | Alba               | 7,221               | 8,587               |            nan | 1961*                                       |
| 238 | Cehu Silvaniei         | Sălaj             | 7,214               | 8,468               |            nan | 1968*                                       |
| 239 | Tăuții-Măgherăuș  | Maramureș         | 7,136               | 6,713               |            nan | 2004*                                       |
| 240 | Murgeni                | Vaslui             | 7,119               | 7,674               |            nan | 2003*                                       |
| 241 | Tismana                | Gorj               | 7,035               | 7,894               |            nan | 2004*                                       |
| 242 | Buziaș                | Timiș             | 7,023               | 8,128               |            nan | 1956*                                       |
| 243 | Segarcea               | Dolj               | 7,019               | 8,704               |            nan | 1968*                                       |
| 244 | Săveni                | Botoșani          | 6,999               | 8,685               |            nan | 1920*/1968*                                 |
| 245 | Pâncota               | Arad               | 6,946               | 7,418               |            nan | 1968*                                       |
| 246 | Ungheni                | Mureș             | 6,945               | 6,554               |            nan | 2004*                                       |
| 247 | Sărmașu              | Mureș             | 6,942               | 7,493               |            nan | 2003*                                       |
| 248 | Răcari                | Dâmbovița        | 6,930               | 6,892               |            nan | 2004*                                       |
| 249 | Tălmaciu              | Sibiu              | 6,905               | 9,147               |            nan | 1989*                                       |
| 250 | Cajvana                | Suceava            | 6,901               | 7,263               |            nan | 2004*                                       |
| 251 | Vlăhița              | Harghita           | 6,898               | 7,392               |            nan | nan                                         |
| 252 | Fundulea               | Călărași        | 6,851               | 6,217               |            nan | 1989*                                       |
| 253 | Livada                 | Satu Mare          | 6,773               | 7,004               |            nan | 2006*                                       |
| 254 | Făget                 | Timiș             | 6,761               | 7,519               |            nan | 1994*                                       |
| 255 | Teiuș                 | Alba               | 6,695               | 7,338               |            nan | 1994*                                       |
| 256 | Bicaz                  | Neamț             | 6,543               | 8,911               |            nan | 1960*                                       |
| 257 | Ștei                  | Bihor              | 6,529               | 9,466               |            nan | 1956*                                       |
| 258 | Însurăței           | Brăila            | 6,528               | 7,501               |            nan | 1989*                                       |
| 259 | Lehliu Gară           | Călărași        | 6,502               | 6,667               |            nan | 1989*                                       |
| 260 | Târgu Bujor           | Galați            | 6,299               | 8,044               |            nan | 1968*                                       |
| 261 | Piatra-Olt             | Olt                | 6,299               | 6,583               |            nan | 1989*                                       |
| 262 | Horezu                 | Vâlcea            | 6,263               | 7,446               |            nan | 1968*                                       |
| 263 | Deta                   | Timiș             | 6,260               | 6,423               |            nan | 1810*/1968*                                 |
| 264 | Ardud                  | Satu Mare          | 6,231               | 6,486               |            nan | 2004*                                       |
| 265 | Bălan                 | Harghita           | 6,115               | 9,295               |            nan | 1968*                                       |
| 266 | Slănic                | Prahova            | 6,034               | 7,249               |            nan | 1892*                                       |
| 267 | Brezoi                 | Vâlcea            | 6,022               | 7,589               |            nan | 1968*                                       |
| 268 | Sebiș                 | Arad               | 5,979               | 6,829               |            nan | nan                                         |
| 269 | Frasin                 | Suceava            | 5,876               | 6,532               |            nan | 2004*                                       |
| 270 | Gătaia                | Timiș             | 5,861               | 8,103               |            nan | 2004*                                       |
| 271 | Potcoava               | Olt                | 5,743               | 6,111               |            nan | 2004*                                       |
| 272 | Miercurea Nirajului    | Mureș             | 5,554               | 5,824               |            nan | 2003*                                       |
| 273 | Broșteni              | Suceava            | 5,506               | 6,603               |            nan | 2004*                                       |
| 274 | Novaci                 | Gorj               | 5,431               | 6,151               |            nan | 1968*                                       |
| 275 | Săliște              | Sibiu              | 5,421               | 6,092               |            nan | 2003*                                       |
| 276 | Copșa Mică           | Sibiu              | 5,404               | 5,157               |            nan | 1961*                                       |
| 277 | Băneasa               | Constanța         | 5,384               | 5,538               |            nan | 2004*                                       |
| 278 | Baia de Aramă         | Mehedinți         | 5,349               | 5,724               |            nan | 1968*                                       |
| 279 | Ciacova                | Timiș             | 5,348               | 7,285               |            nan | 2004*                                       |
| 280 | Ștefănești          | Botoșani          | 5,314               | 5,628               |            nan | 2004*                                       |
| 281 | Vânju Mare            | Mehedinți         | 5,311               | 7,074               |            nan | 1968*                                       |
| 282 | Geoagiu                | Hunedoara          | 5,294               | 6,290               |            nan | 2000*                                       |
| 283 | Rupea                  | Brașov            | 5,269               | 6,246               |            nan | 1951*                                       |
| 284 | Sângeorgiu de Pădure | Mureș             | 5,166               | 5,492               |            nan | 2003*                                       |
| 285 | Negru Vodă            | Constanța         | 5,088               | 5,529               |            nan | nan                                         |
| 286 | Abrud                  | Alba               | 5,072               | 6,803               |            nan | nan                                         |
| 287 | Isaccea                | Tulcea             | 5,026               | 5,374               |            nan | nan                                         |
| 288 | Băile Herculane       | Caraș-Severin     | 5,008               | 6,051               |            nan | nan                                         |
| 289 | Milișăuți           | Suceava            | 5,005               | 8,433               |            nan | 2004*                                       |
| 290 | Cavnic                 | Maramureș         | 4,976               | 5,494               |            nan | 1968*                                       |
| 291 | Fierbinți-Târg       | Ialomița          | 4,969               | 5,253               |            nan | 2004*                                       |
| 292 | Săliștea de Sus      | Maramureș         | 4,893               | 5,196               |            nan | 1365†/2004*                                 |
| 293 | Bălcești             | Vâlcea            | 4,864               | 5,780               |            nan | 2002*                                       |
| 294 | Berbești              | Vâlcea            | 4,836               | 5,704               |            nan | 2003*                                       |
| 295 | Predeal                | Brașov            | 4,755               | 5,615               |           1030 | 1935*                                       |
| 296 | Ghimbav                | Brașov            | 4,698               | 5,112               |            nan | 2002*                                       |
| 297 | Azuga                  | Prahova            | 4,440               | 6,119               |            nan | 1948*                                       |
| 298 | Țicleni               | Gorj               | 4,414               | 5,205               |            nan | 1968*                                       |
| 299 | Aninoasa               | Hunedoara          | 4,360               | 6,108               |            nan | 1989*                                       |
| 300 | Bucecea                | Botoșani          | 4,274               | 5,128               |            nan | 2004*                                       |
| 301 | Slănic Moldova        | Bacău             | 4,198               | 5,375               |            nan | nan                                         |
| 302 | Băile Olănești      | Vâlcea            | 4,186               | 4,814               |            nan | nan                                         |
| 303 | Miercurea Sibiului     | Sibiu              | 3,910               | 4,063               |            nan | 2004*                                       |
| 304 | Sulina                 | Tulcea             | 3,663               | 5,140               |            nan | nan                                         |
| 305 | Bechet                 | Dolj               | 3,657               | 3,864               |            nan | 2004*                                       |
| 306 | Făurei                | Brăila            | 3,592               | 4,626               |            nan | 1968*                                       |
| 307 | Ocna Sibiului          | Sibiu              | 3,562               | 4,184               |            nan | nan                                         |
| 308 | Baia de Arieș         | Alba               | 3,461               | 4,877               |            nan | 1998*                                       |
| 309 | Ocnele Mari            | Vâlcea            | 3,309               | 3,591               |            nan | 1960*                                       |
| 310 | Căzănești           | Ialomița          | 3,271               | 3,641               |            nan | 2004*                                       |
| 311 | Dragomirești          | Maramureș         | 3,213               | 3,132               |            nan | 2004*                                       |
