===================Title===================
Ohio House of Representatives membership, 125th General Assembly
===================Table===================
|    | District      | Representative          | Party                                                    | Home Town, County                    | Term of Service   |
| 45 | 46th District | Lynn E. Olman           | Republican                                               | Maumee, Lucas                        | -2005             |
| 46 | 47th District | Peter Ujvagi            | Democratic                                               | Toledo, Lucas                        | nan               |
| 47 | 48th District | Edna Brown              | Democratic                                               | Toledo, Lucas                        | nan               |
| 48 | 49th District | Jeanine Perry           | Democratic                                               | Toledo, Lucas                        | nan               |
| 49 | 50th District | John P. Hagan           | Republican                                               | Marlboro Twp., Stark                 | nan               |
| 50 | 51st District | W. Scott Oelslager      | Republican                                               | Canton, Stark                        | nan               |
| 51 | 52nd District | Mary M. Cirelli         | Democratic                                               | Canton, Stark                        | -2005             |
| 52 | 53rd District | Shawn N. Webster        | Republican                                               | Millville, Butler                    | nan               |
| 53 | 54th District | Courtney E. Combs       | Republican                                               | Hamilton, Butler                     | nan               |
| 54 | 55th District | Gary W. Cates           | Republican                                               | West Chester Twp., Butler            | -2005             |
| 55 | 56th District | Joseph F. Koziura       | Democratic                                               | Lorain, Lorain                       | nan               |
| 56 | 57th District | Earl J. Martin          | Republican                                               | Avon Lake, Lorain                    | nan               |
| 57 | 58th District | Kathleen L. Walcher     | Republican                                               | Norwalk, Huron                       | nan               |
| 58 | 59th District | Kenneth A. Carano Sr.   | Democratic                                               | Austintown, Mahoning                 | nan               |
| 59 | 60th District | Sylvester D. Patton Jr. | Democratic                                               | Youngstown, Mahoning                 | nan               |
| 60 | 61st District | John A. Boccieri        | Democratic                                               | New Middletown, Mahoning             | nan               |
| 61 | 62nd District | Jamie Callender         | Republican                                               | Willowick, Lake                      | -2005             |
| 62 | 63rd District | Ron Young               | Republican                                               | Leroy, Geauga                        | -2005             |
| 63 | 64th District | Daniel J. Sferra        | Democratic                                               | Warren, Trumbull                     | 2005-             |
| 64 | 65th District | Sandra Stabile Harwood  | Democratic                                               | Niles, Trumbull                      | ;                 |
| 65 | 66th District | Jean Schmidt            | Republican                                               | Miami Township, Clermont             | -2005             |
| 66 | 67th District | Tom Raga                | Republican                                               | Deerfield Township, Warren           | nan               |
| 67 | 68th District | Kathleen Chandler       | Democratic                                               | Kent, Portage                        | nan               |
| 68 | 69th District | Charles E. Calvert      | Republican                                               | Medina, Medina                       | nan               |
| 69 | 70th District | Kevin DeWine            | Republican                                               | Fairborn, Greene                     | nan               |
| 70 | 71st District | David R. Evans          | Republican                                               | Newark, Licking                      | nan               |
| 71 | 72nd District | Merle Grace Kearns      | Republican                                               | Springfield, Clark                   | nan               |
| 72 | 73rd District | William J. Hartnett     | Democratic                                               | Mansfield, Richland                  | nan               |
| 73 | 74th District | Stephen P. Buehrer      | Republican                                               | Delta, Fulton                        | nan               |
| 74 | 75th District | James M. Hoops          | Republican                                               | Napoleon, Henry                      | nan               |
| 75 | 76th District | Michael E. Gilb         | Republican                                               | Findlay, Hancock                     | nan               |
| 76 | 77th District | Keith L. Faber          | Republican                                               | Celina, Mercer                       | nan               |
| 77 | 78th District | Derrick Seaver          | Democratic\n(switched to\nRepublican\non 11 zz18zz 2004) | Minster, Auglaize                    | nan               |
| 78 | 79th District | Diana M. Fessler        | Republican                                               | New Carlisle, Clark                  | nan               |
| 79 | 80th District | Chris Redfern           | Democratic                                               | Port Clinton, Ottawa                 | nan               |
| 80 | 81st District | Jeff Wagner             | Republican                                               | Sycamore, Seneca                     | nan               |
| 81 | 82nd District | Stephen Reinhard        | Republican                                               | Bucyrus, Crawford                    | nan               |
| 82 | 83rd District | Anthony E. Core         | Republican                                               | Rushsylvania, Logan                  | nan               |
| 83 | 84th District | Chris Widener           | Republican                                               | Springfield, Clark                   | nan               |
| 84 | 85th District | John M. Schlichter      | Republican                                               | Washington Court House, Fayette      | nan               |
| 85 | 86th District | David T. Daniels        | Republican                                               | Greenfield, Highland                 | nan               |
| 86 | 87th District | Clyde Evans             | Republican                                               | Rio Grande, Gallia                   | nan               |
| 87 | 88th District | Tom Niehaus             | Republican                                               | New Richmond, Clermont               | -2005             |
| 88 | 89th District | Todd Book               | Democratic                                               | McDermott, Scioto                    | nan               |
| 89 | 90th District | Thom Collier            | Republican                                               | Mount Vernon, Knox                   | nan               |
| 90 | 91st District | Larry Householder       | Republican                                               | Glenford, Perry                      | -2005             |
| 91 | 92nd District | Jimmy Stewart           | Republican                                               | Athens, Athens                       | nan               |
| 92 | 93rd District | Nancy P. Hollister      | Republican                                               | Marietta, Washington                 | -2005             |
| 93 | 94th District | James Aslanides         | Republican                                               | Coshocton, Coschocton                | nan               |
| 94 | 95th District | John Domenick           | Democratic                                               | Smithfield, Jefferson                | nan               |
| 95 | 96th District | Charles A. Wilson Jr.   | Democratic                                               | Bridgeport, Belmont                  | -2005             |
| 96 | 97th District | Bob Gibbs               | Republican                                               | Lakeville, Holmes\n<                 | nan               |
| 97 | 98th District | Timothy J. Grendell     | Republican                                               | Chesterland, Geauga                  | -2005             |
| 98 | 99th District | L. George Distel        | Democratic                                               | Conneaut, Ashtabula                  | nan               |
===================Question===================
which home town has the most representatives?
===================Text===================

===================Answer===================
Cincinnati
