===================Title===================
List of European islands by area
===================Table===================
|    |   Rank | Island                                                    |   Area\n(km²) |   Area\n(sq mi) | Country/Countries/Region                       |
| 28 |    237 | Île de Ré                                               |          85   |            33   | France                                         |
| 29 |    238 | Nordkvaløya                                               |          84   |            33   | Norway                                         |
| 30 |    239 | Syros                                                     |          84   |            33   | Greece                                         |
| 31 |    240 | Aegina                                                    |          83   |            32   | Greece                                         |
| 32 |    241 | Formentera                                                |          83   |            32   | Spain                                          |
| 33 |    242 | Pantelleria                                               |          83   |            32   | Italy                                          |
| 34 |    243 | Ytre Vikna (outer island of Vikna archipelago)            |          83   |            32   | Norway                                         |
| 35 |    244 | Benbecula                                                 |          82   |            32   | United Kingdom                                 |
| 36 |    245 | Rebbenesøya                                               |          82   |            32   | Norway                                         |
| 37 |    246 | Föhr                                                     |          82   |            32   | Germany                                        |
| 38 |    247 | Tiree                                                     |          78   |            30   | United Kingdom                                 |
| 39 |    248 | Uløya                                                     |          78   |            30   | Norway                                         |
| 40 |    249 | Coll                                                      |          77   |            30   | United Kingdom                                 |
| 41 |    250 | Otrøy (in Møre og Romsdal)                                |          76   |            29   | Norway                                         |
| 42 |    251 | Santorini                                                 |          76   |            29   | Greece                                         |
| 43 |    252 | Lošinj                                                   |          75   |            29   | Croatia                                        |
| 44 |    253 | Hertsön                                                  |          73   |            28   | Sweden                                         |
| 45 |    254 | Serifos                                                   |          73   |            29   | Greece                                         |
| 46 |    255 | Sifnos                                                    |          73   |            29   | Greece                                         |
| 47 |    256 | Storlandet (Finnish: Iso-Nauvo) (Nagu/Nauvo main island)  |          72   |            29   | Finland                                        |
| 48 |    257 | Tåsinge                                                  |          70   |            27   | Denmark                                        |
| 49 |    258 | Ålön (in Pargas/Parainen)                               |          70   |            27   | Finland                                        |
| 50 |    259 | Engeløya                                                  |          68   |            26   | Norway                                         |
| 51 |    260 | Finnøya (in Nordland)                                     |          68   |            26   | Norway                                         |
| 52 |    261 | Alnön                                                    |          68   |            26   | Sweden                                         |
| 53 |    262 | Gozo                                                      |          67   |            26   | Malta                                          |
| 54 |    263 | Kasos                                                     |          66   |            26   | Greece                                         |
| 55 |    264 | Kyrklandet (in Korpo/Korppoo)                             |          64   |            25   | Finland                                        |
| 56 |    265 | Alonissos                                                 |          64   |            25   | Greece                                         |
| 57 |    266 | Vågsøy                                                   |          64   |            25   | Norway                                         |
| 58 |    267 | Frei                                                      |          63   |            24   | Norway                                         |
| 59 |    268 | Guernsey                                                  |          63   |            24   | Guernsey, British Crown dependency             |
| 60 |    269 | Ingarö                                                   |          63   |            24   | Sweden                                         |
| 61 |    270 | Pašman                                                   |          63   |            24   | Croatia                                        |
| 62 |    271 | Tilos                                                     |          63   |            24   | Greece                                         |
| 63 |    272 | Raasay                                                    |          62   |            24   | United Kingdom                                 |
| 64 |    273 | Graciosa Island                                           |          62   |            24   | Portugal                                       |
| 65 |    274 | Ljusterö                                                 |          62   |            24   | Sweden                                         |
| 66 |    275 | Bolshoy Berezovy (in Beryozovye Islands, Gulf of Finland) |          60   |            23   | Russia                                         |
| 67 |    276 | Leka                                                      |          60   |            23   | Norway                                         |
| 68 |    277 | Sula (in Møre og Romsdal)                                 |          59   |            23   | Norway                                         |
| 69 |    278 | Barra                                                     |          59   |            23   | United Kingdom                                 |
| 70 |    279 | Šolta                                                    |          59   |            23   | Croatia                                        |
| 71 |    280 | Ombo                                                      |          58   |            22   | Norway                                         |
| 72 |    281 | Ameland                                                   |          58   |            22   | Netherlands                                    |
| 73 |    282 | Symi                                                      |          58   |            22   | Greece                                         |
| 74 |    283 | Kivimaa (in Gustavs/Kustavi)                              |          57   |            22   | Finland                                        |
| 75 |    284 | Fanø                                                      |          56   |            21.5 | Denmark                                        |
| 76 |    285 | Dzharylgach                                               |          56   |            21.5 | Ukraine                                        |
| 77 |    286 | Île de Noirmoutier                                       |          55.5 |            21.5 | France                                         |
| 78 |    287 | Jøa                                                       |          55   |            21   | Norway                                         |
| 79 |    288 | Inner-Vikna (inner island of Vikna archipelago)           |          55   |            21   | Norway                                         |
| 80 |    289 | Hemsön                                                   |          54   |            21   | Sweden                                         |
| 81 |    290 | Dyrøya                                                    |          53   |            20   | Norway                                         |
| 82 |    291 | Leros                                                     |          53   |            20   | Greece                                         |
| 83 |    292 | Pyhämaa (in Nystad/Uusikaupunki)                         |          53   |            20   | Finland                                        |
| 84 |    293 | Vessölandet (in Borgå/Porvoo)                           |          52   |            20   | Finland                                        |
| 85 |    294 | Mörkön                                                  |          52   |            20   | Sweden                                         |
| 86 |    295 | San Pietro Island                                         |          51   |            20   | Italy                                          |
| 87 |    296 | Asinara                                                   |          51   |            20   | Italy                                          |
| 88 |    297 | Hydra                                                     |          50   |            19   | Greece                                         |
| 89 |    298 | Sanday, Orkney                                            |          50   |            19   | United Kingdom                                 |
| 90 |    299 | Ugljan                                                    |          50   |            19   | Croatia                                        |
| 91 |    300 | Huftarøy                                                  |          50   |            19   | Norway                                         |
| 92 |    301 | Storøya                                                   |          50   |            19   | Svalbard,  Norway                              |
| 93 |    302 | Wahlbergøya                                               |          50   |            19   | Svalbard,  Norway                              |
| 94 |    303 | South Ronaldsay                                           |          50   |            19   | United Kingdom                                 |
===================Question===================
the country with the most islands is what?
===================Text===================

===================Answer===================
Norway
