===================Title===================
List of Israeli cities
===================Table===================
|    | Common name            | District                     | Hebrew             | Arabic               | Population\n(2009)   |   Area\n(km²) | Mayor               |
| 21 | Hod HaSharon           | Center                       | הוד השרון          | هود هشارون           | 47,200               |        21.585 | Hai Adiv            |
| 22 | Holon                  | Tel Aviv                     | חולון              | حولون                | 184,700              |        18.927 | Moti Sasson         |
| 23 | Jerusalem              | Jerusalem                    | ירושלים            | أورشليم, القدس      | 815,600              |       125.156 | Nir Barkat          |
| 24 | Karmiel                | North                        | כרמיאל             | كرميئيل             | 44,100               |        19.188 | Adi Eldar           |
| 25 | Kafr Qasim             | Center                       | כפר קאסם           | كفر قاسم             | 18,800               |         8.745 | Sami Issa           |
| 26 | Kfar Saba              | Center                       | כפר סבא            | كفار سابا            | 83,600               |        14.169 | Yehuda Ben-Hemo     |
| 27 | Kiryat Ata             | Haifa                        | קריית אתא          | كريات آتا           | 50,700               |        16.706 | Ya'akov Peretz      |
| 28 | Kiryat Bialik          | Haifa                        | קריית ביאליק       | كريات بياليك         | 37,300               |         8.178 | Eli Dokursky        |
| 29 | Kiryat Gat             | South                        | קריית גת           | كريات جات            | 47,400               |        16.302 | Aviram Dahari       |
| 30 | Kiryat Malakhi         | South                        | קריית מלאכי        | كريات ملاخي          | 20,600               |         4.632 | Motti Malka         |
| 31 | Kiryat Motzkin         | Haifa                        | קריית מוצקין       | كريات موتسكين        | 38,000               |         3.778 | Haim Zuri           |
| 32 | Kiryat Ono             | Tel Aviv                     | קריית אונו         | كريات أونو          | 31,000               |         4.112 | Yossi Nishri        |
| 33 | Kiryat Shmona          | North                        | קריית שמונה        | كريات شمونة          | 23,100               |        14.228 | Nissim Malka        |
| 34 | Kiryat Yam             | Haifa                        | קריית ים           | كريات يام            | 37,700               |         4.339 | Shmuel Sisso        |
| 35 | Lod                    | Center                       | לוד                | اللد                 | 69,800               |        12.226 | Yair Revivo         |
| 36 | Ma'ale Adumim          | Judea & Samaria\n(West Bank) | מעלה אדומים        | معلي أدوميم         | 34,300               |        49.177 | Benny Kashriel      |
| 37 | Ma'alot-Tarshiha       | North                        | מעלות-תרשיחא       | معالوت ترشيحا        | 20,600               |         6.832 | Shlomo Bohbot       |
| 38 | Migdal HaEmek          | North                        | מגדל העמק          | مجدال هعيمق          | 23,900               |         7.637 | Eliyahu Barda       |
| 39 | Modi'in Illit          | Judea & Samaria\n(West Bank) | מודיעין עילית      | موديعين عيليت        | 46,200               |         4.746 | Ya'akov Gutterman   |
| 40 | Modi'in-Maccabim-Re'ut | Center                       | מודיעין-מכבים-רעות | موديعين-مكابيم-ريعوت | 72,700               |        50.176 | Haim Beebas         |
| 41 | Nahariya               | North                        | נהריה              | نهاريا               | 51,200               |        10.233 | Jacky Sabag         |
| 42 | Nazareth               | North                        | נצרת               | الناصرة              | 72,200               |        14.123 | Ali Salam           |
| 43 | Nazareth Illit         | North                        | נצרת עילית         | الناصرة العليا       | 40,800               |        32.521 | Shimon Gapso        |
| 44 | Nesher                 | Haifa                        | נשר                | نيشر                 | 23,600               |        12.79  | David Amar          |
| 45 | Ness Ziona             | Center                       | נס ציונה           | نيس تسيونا           | 38,100               |        15.579 | Yossi Shvo          |
| 46 | Netanya                | Center                       | נתניה              | نتانيا               | 183,200              |        28.954 | Miriam Feirberg     |
| 47 | Netivot                | South                        | נתיבות             | نتيفوت               | 26,700               |         5.626 | Yehiel Zohar        |
| 48 | Ofakim                 | South                        | אופקים             | أوفاكيم             | 24,000               |        10.273 | Zvika Greengold     |
| 49 | Or Akiva               | Haifa                        | אור עקיבא          | أور عكيفا           | 16,100               |         3.539 | Simha Yosipov       |
| 50 | Or Yehuda              | Tel Aviv                     | אור יהודה          | أور يهودا           | 34,400               |         5.141 | David Yosef         |
| 51 | Petah Tikva            | Center                       | פתח תקווה          | بيتح تكفا            | 209,600              |        35.868 | Itzik Braverman     |
| 52 | Qalansawe              | Center                       | קלנסווה            | قلنسوة               | 18,700               |         8.417 | nan                 |
| 53 | Ra'anana               | Center                       | רעננה              | رعنانا               | 68,300               |        14.878 | Nahum Hofree        |
| 54 | Rahat                  | South                        | רהט                | رهط                  | 51,700               |        19.586 | Talal al-Krenawi    |
| 55 | Ramat Gan              | Tel Aviv                     | רמת גן             | رمات غان             | 145,000              |        13.229 | Yisrael Zinger      |
| 56 | Ramat HaSharon         | Tel Aviv                     | רמת השרון          | رمات هشارون          | 40,600               |        16.792 | Yitzhak Rochberger  |
| 57 | Ramla                  | Center                       | רמלה               | الرملة               | 65,800               |        11.854 | Yoel Lavi           |
| 58 | Rehovot                | Center                       | רחובות             | رحوفوت               | 112,700              |        23.041 | Rahamim Malul       |
| 59 | Rishon LeZion          | Center                       | ראשון לציון        | ريشون لتسيون         | 228,200              |        58.704 | Dov Tzur            |
| 60 | Rosh HaAyin            | Center                       | ראש העין           | رأس العين           | 38,500               |        24.39  | Moshe Sinai         |
| 61 | Safed                  | North                        | צפת                | صفد                  | 29,500               |        29.248 | Ilan Shohat         |
| 62 | Sakhnin                | North                        | סח'נין             | سخنين                | 25,700               |         9.816 | Mazen Ghnaim        |
| 63 | Sderot                 | South                        | שדרות              | سديروت               | 23,700               |         4.472 | David Buskila       |
| 64 | Shefa-'Amr (Shfar'am)  | North                        | שפרעם              | شفا عمرو             | 36,200               |        19.766 | Nahed Khazem        |
| 65 | Tamra                  | North                        | טמרה               | طمرة                 | 28,700               |        29.259 | Abu el-Hija Adel    |
| 66 | Tayibe                 | Center                       | טייבה              | الطيبة               | 36,500               |        18.662 | Hemi Doron          |
| 67 | Tel Aviv               | Tel Aviv                     | תל אביב            | تل أبيب يافا        | 403,700              |        51.788 | Ron Huldai          |
| 68 | Tiberias               | North                        | טבריה              | طبريا                | 41,300               |        10.872 | Zohar Oved          |
| 69 | Tira                   | Center                       | טירה               | الطيرة               | 22,600               |        11.894 | Mamoun Abd al-Hay   |
| 70 | Tirat Carmel           | Haifa                        | טירת כרמל          | طيرة الكرمل          | 18,600               |         5.601 | Aryeh Tal           |
| 71 | Umm al-Fahm            | Haifa                        | אום אל-פחם         | أم الفحم            | 46,100               |        22.253 | Khaled Aghbariyya   |
| 72 | Yavne                  | Center                       | יבנה               | يبنة                 | 33,000               |        10.7   | Zvi Gov-Ari         |
| 73 | Yehud-Monosson         | Center                       | יהוד-מונוסון       | يهود مونوسون         | 26,500               |         5.014 | Yossi Ben-David     |
| 74 | Yokneam                | North                        | יקנעם              | يوقنعم               | 19,100               |         7.39  | Simon Alfasi        |
===================Question===================
what is the average population of acre, ariel, and dimona?
===================Text===================
Final Answer: 32,100
===================Answer===================
32,100
