===================Title===================
List of The Citadel Bulldogs football seasons
===================Table===================
|     | Season               | Conference               | Head Coach       | Total Wins       | Total Losses       | Total Ties      | Conference Wins                         | Conference Losses                         | Conference Ties                     | Conference Standing                | Postseason Result                   |
|  14 | 1919                 | Southern Intercollegiate | George C. Rogers | 4                | 4                  | 1               | 2                                       | 4                                         | 1                                   | —                                  | —                                   |
|  15 | 1920                 | Southern Intercollegiate | Harvey O'Brien   | 2                | 6                  | 0               | 1                                       | 5                                         | 0                                   | —                                  | —                                   |
|  16 | 1921                 | Southern Intercollegiate | Harvey O'Brien   | 3                | 3                  | 2               | 2                                       | 3                                         | 1                                   | —                                  | —                                   |
|  17 | 1922                 | Southern Intercollegiate | Carl Prause      | 3                | 5                  | 0               | 1                                       | 2                                         | 0                                   | —                                  | —                                   |
|  18 | 1923                 | Southern Intercollegiate | Carl Prause      | 5                | 3                  | 1               | 2                                       | 1                                         | 1                                   | —                                  | —                                   |
|  19 | 1924                 | Southern Intercollegiate | Carl Prause      | 6                | 4                  | 0               | 4                                       | 2                                         | 0                                   | —                                  | —                                   |
|  20 | 1925                 | Southern Intercollegiate | Carl Prause      | 6                | 4                  | 0               | 4                                       | 2                                         | 0                                   | —                                  | —                                   |
|  21 | 1926                 | Southern Intercollegiate | Carl Prause      | 7                | 3                  | 0               | 4                                       | 3                                         | 0                                   | —                                  | —                                   |
|  22 | 1927                 | Southern Intercollegiate | Carl Prause      | 3                | 6                  | 1               | 2                                       | 3                                         | 1                                   | —                                  | —                                   |
|  23 | 1928                 | Southern Intercollegiate | Carl Prause      | 6                | 3                  | 1               | 3                                       | 3                                         | 0                                   | —                                  | —                                   |
|  24 | 1929                 | Southern Intercollegiate | Carl Prause      | 5                | 4                  | 1               | 4                                       | 0                                         | 1                                   | —                                  | —                                   |
|  25 | 1930                 | Southern Intercollegiate | Johnny Floyd     | 4                | 5                  | 2               | 3                                       | 0                                         | 1                                   | —                                  | —                                   |
|  26 | 1931                 | Southern Intercollegiate | Johnny Floyd     | 5                | 4                  | 1               | 4                                       | 1                                         | 0                                   | —                                  | —                                   |
|  27 | 1932                 | Southern Intercollegiate | Tatum Gressette  | 4                | 5                  | 0               | 2                                       | 2                                         | 0                                   | —                                  | —                                   |
|  28 | 1933                 | Southern Intercollegiate | Tatum Gressette  | 3                | 5                  | 1               | 3                                       | 2                                         | 0                                   | —                                  | —                                   |
|  29 | 1934                 | Southern Intercollegiate | Tatum Gressette  | 3                | 5                  | 1               | 2                                       | 2                                         | 0                                   | —                                  | —                                   |
|  30 | 1935                 | Southern Intercollegiate | Tatum Gressette  | 4                | 3                  | 1               | 3                                       | 1                                         | 0                                   | —                                  | —                                   |
|  31 | 1936                 | Southern                 | Tatum Gressette  | 4                | 6                  | 0               | 0                                       | 4                                         | 0                                   | 14                                 | —                                   |
|  32 | 1937                 | Southern                 | Tatum Gressette  | 7                | 4                  | 0               | 2                                       | 3                                         | 0                                   | 8                                  | —                                   |
|  33 | 1938                 | Southern                 | Tatum Gressette  | 6                | 5                  | 0               | 2                                       | 3                                         | 0                                   | 10                                 | —                                   |
|  34 | 1939                 | Southern                 | Tatum Gressette  | 3                | 8                  | 0               | 0                                       | 4                                         | 0                                   | 15                                 | —                                   |
|  35 | 1940                 | Southern                 | Bo Rowland       | 4                | 5                  | 0               | 0                                       | 4                                         | 0                                   | 15                                 | —                                   |
|  36 | 1941                 | Southern                 | Bo Rowland       | 4                | 3                  | 1               | 0                                       | 2                                         | 1                                   | 14                                 | —                                   |
|  37 | 1942                 | Southern                 | Bo Rowland       | 5                | 2                  | 0               | 2                                       | 2                                         | 0                                   | 8                                  | —                                   |
|  38 | 1943                 | No Team                  | No Team          | No Team          | No Team            | No Team         | No Team                                 | No Team                                   | No Team                             | No Team                            | No Team                             |
|  39 | 1944                 | No Team                  | No Team          | No Team          | No Team            | No Team         | No Team                                 | No Team                                   | No Team                             | No Team                            | No Team                             |
|  40 | 1945                 | No Team                  | No Team          | No Team          | No Team            | No Team         | No Team                                 | No Team                                   | No Team                             | No Team                            | No Team                             |
|  41 | 1946                 | Southern                 | J. Quinn Decker  | 3                | 5                  | 0               | 1                                       | 5                                         | 0                                   | 15                                 | —                                   |
|  42 | 1947                 | Southern                 | J. Quinn Decker  | 3                | 5                  | 0               | 1                                       | 4                                         | 0                                   | 12                                 | —                                   |
|  43 | 1948                 | Southern                 | J. Quinn Decker  | 2                | 7                  | 0               | 0                                       | 5                                         | 0                                   | 16                                 | —                                   |
|  44 | 1949                 | Southern                 | J. Quinn Decker  | 4                | 5                  | 0               | 2                                       | 2                                         | 0                                   | 7                                  | —                                   |
|  45 | 1950                 | Southern                 | J. Quinn Decker  | 4                | 6                  | 0               | 2                                       | 3                                         | 0                                   | 11                                 | —                                   |
|  46 | 1951                 | Southern                 | J. Quinn Decker  | 4                | 6                  | 0               | 1                                       | 3                                         | 0                                   | 14                                 | —                                   |
|  47 | 1952                 | Southern                 | J. Quinn Decker  | 3                | 5                  | 1               | 1                                       | 3                                         | 1                                   | 13                                 | —                                   |
|  48 | 1953                 | Southern                 | John D. McMillan | 2                | 7                  | 0               | 1                                       | 3                                         | 0                                   | 9                                  | —                                   |
|  49 | 1954                 | Southern                 | John D. McMillan | 2                | 8                  | 0               | 0                                       | 4                                         | 0                                   | 9                                  | —                                   |
|  50 | 1955                 | Southern                 | John Sauer       | 5                | 4                  | 0               | 2                                       | 2                                         | 0                                   | 5                                  | —                                   |
|  51 | 1956                 | Southern                 | John Sauer       | 3                | 5                  | 1               | 1                                       | 3                                         | 0                                   | 8                                  | —                                   |
|  52 | 1957                 | Southern                 | Eddie Teague     | 5                | 4                  | 1               | 4                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  53 | 1958                 | Southern                 | Eddie Teague     | 4                | 6                  | 0               | 2                                       | 3                                         | 0                                   | 7                                  | —                                   |
|  54 | 1959                 | Southern                 | Eddie Teague     | 8                | 2                  | 0               | 5                                       | 1                                         | 0                                   | 2                                  | —                                   |
|  55 | 1960                 | Southern                 | Eddie Teague     | 8                | 2                  | 1               | 4                                       | 2                                         | 0                                   | 2                                  | Tangerine Bowl                      |
|  56 | 1961                 | Southern                 | Eddie Teague     | 7                | 3                  | 0               | 5                                       | 1                                         | 0                                   | 1                                  | —                                   |
|  57 | 1962                 | Southern                 | Eddie Teague     | 3                | 7                  | 0               | 1                                       | 4                                         | 0                                   | 7                                  | —                                   |
|  58 | 1963                 | Southern                 | Eddie Teague     | 4                | 6                  | 0               | 2                                       | 4                                         | 0                                   | 7                                  | —                                   |
|  59 | 1964                 | Southern                 | Eddie Teague     | 4                | 6                  | 0               | 4                                       | 3                                         | 0                                   | 4                                  | —                                   |
|  60 | 1965                 | Southern                 | Eddie Teague     | 2                | 8                  | 0               | 2                                       | 6                                         | 0                                   | 8                                  | —                                   |
|  61 | 1966                 | Southern                 | Red Parker       | 4                | 6                  | 0               | 3                                       | 5                                         | 0                                   | 6                                  | —                                   |
|  62 | 1967                 | Southern                 | Red Parker       | 5                | 6                  | 0               | 2                                       | 4                                         | 0                                   | 7                                  | —                                   |
|  63 | 1968                 | Southern                 | Red Parker       | 5                | 5                  | 0               | 4                                       | 2                                         | 0                                   | 2                                  | —                                   |
|  64 | 1969                 | Southern                 | Red Parker       | 7                | 3                  | 0               | 4                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  65 | 1970                 | Southern                 | Red Parker       | 5                | 6                  | 0               | 4                                       | 2                                         | 0                                   | 2                                  | —                                   |
|  66 | 1971                 | Southern                 | Red Parker       | 8                | 3                  | 0               | 4                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  67 | 1972                 | Southern                 | Red Parker       | 5                | 6                  | 0               | 4                                       | 3                                         | 0                                   | 4                                  | —                                   |
|  68 | 1973                 | Southern                 | Bobby Ross       | 3                | 8                  | 0               | 1                                       | 6                                         | 0                                   | 7                                  | —                                   |
|  69 | 1974                 | Southern                 | Bobby Ross       | 4                | 7                  | 0               | 3                                       | 4                                         | 0                                   | 5                                  | —                                   |
|  70 | 1975                 | Southern                 | Bobby Ross       | 6                | 5                  | 0               | 4                                       | 3                                         | 0                                   | 4                                  | —                                   |
|  71 | 1976                 | Southern                 | Bobby Ross       | 6                | 5                  | 0               | 1                                       | 4                                         | 0                                   | 6                                  | —                                   |
|  72 | 1977                 | Southern                 | Bobby Ross       | 5                | 6                  | 0               | 3                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  73 | 1978                 | Southern                 | Art Baker        | 5                | 6                  | 0               | 2                                       | 3                                         | 0                                   | 5                                  | —                                   |
|  74 | 1979                 | Southern                 | Art Baker        | 6                | 5                  | 0               | 4                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  75 | 1980                 | Southern                 | Art Baker        | 7                | 4                  | 0               | 3                                       | 2                                         | 0                                   | 4                                  | —                                   |
|  76 | 1981                 | Southern                 | Art Baker        | 7                | 3                  | 1               | 3                                       | 2                                         | 1                                   | 4                                  | —                                   |
|  77 | 1982                 | Southern                 | Art Baker        | 5                | 6                  | 0               | 3                                       | 4                                         | 0                                   | 4                                  | —                                   |
|  78 | 1983                 | Southern                 | Tom Moore        | 3                | 8                  | 0               | 1                                       | 6                                         | 0                                   | 7                                  | —                                   |
|  79 | 1984                 | Southern                 | Tom Moore        | 7                | 4                  | 0               | 4                                       | 2                                         | 0                                   | 3                                  | —                                   |
|  80 | 1985                 | Southern                 | Tom Moore        | 5                | 5                  | 1               | 2                                       | 4                                         | 1                                   | 5                                  | —                                   |
|  81 | 1986                 | Southern                 | Tom Moore        | 3                | 8                  | 0               | 0                                       | 6                                         | 0                                   | 8                                  | —                                   |
|  82 | 1987                 | Southern                 | Charlie Taaffe   | 4                | 7                  | 0               | 1                                       | 5                                         | 0                                   | 8                                  | —                                   |
|  83 | 1988                 | Southern                 | Charlie Taaffe   | 8                | 4                  | 0               | 5                                       | 2                                         | 0                                   | 3                                  | First Round                         |
|  84 | 1989                 | Southern                 | Charlie Taaffe   | 5                | 5                  | 1               | 1                                       | 5                                         | 1                                   | 8                                  | —                                   |
|  85 | 1990                 | Southern                 | Charlie Taaffe   | 7                | 5                  | 0               | 4                                       | 3                                         | 0                                   | 3                                  | First Round                         |
|  86 | 1991                 | Southern                 | Charlie Taaffe   | 7                | 4                  | 0               | 5                                       | 2                                         | 0                                   | 2                                  | —                                   |
|  87 | 1992                 | Southern                 | Charlie Taaffe   | 11               | 2                  | 0               | 6                                       | 1                                         | 0                                   | 1                                  | Quarterfinals                       |
|  88 | 1993                 | Southern                 | Charlie Taaffe   | 5                | 6                  | 0               | 4                                       | 4                                         | 0                                   | 4                                  | —                                   |
|  89 | 1994                 | Southern                 | Charlie Taaffe   | 6                | 5                  | 0               | 4                                       | 4                                         | 0                                   | 5                                  | —                                   |
|  90 | 1995                 | Southern                 | Charlie Taaffe   | 2                | 9                  | 0               | 0                                       | 8                                         | 0                                   | 8                                  | —                                   |
|  91 | 1996                 | Southern                 | Don Powers       | 4                | 7                  | 0               | 3                                       | 5                                         | 0                                   | 5                                  | —                                   |
|  92 | 1997                 | Southern                 | Don Powers       | 6                | 5                  | 0               | 4                                       | 4                                         | 0                                   | 4                                  | —                                   |
|  93 | 1998                 | Southern                 | Don Powers       | 5                | 6                  | 0               | 4                                       | 4                                         | 0                                   | 4                                  | —                                   |
|  94 | 1999                 | Southern                 | Don Powers       | 2                | 9                  | 0               | 1                                       | 7                                         | 0                                   | 8                                  | —                                   |
|  95 | 2000                 | Southern                 | Don Powers       | 2                | 9                  | 0               | 1                                       | 7                                         | 0                                   | T-8                                | —                                   |
|  96 | 2001                 | Southern                 | Ellis Johnson    | 3                | 7                  | 0               | 2                                       | 6                                         | 0                                   | 7                                  | —                                   |
|  97 | 2002                 | Southern                 | Ellis Johnson    | 3                | 9                  | —               | 1                                       | 7                                         | —                                   | 9                                  | —                                   |
|  98 | 2003                 | Southern                 | Ellis Johnson    | 6                | 6                  | —               | 4                                       | 4                                         | —                                   | 4                                  | —                                   |
|  99 | 2004                 | Southern                 | John Zernhelt    | 3                | 7                  | —               | 2                                       | 5                                         | —                                   | T-5                                | —                                   |
| 100 | 2005                 | Southern                 | Kevin Higgins    | 4                | 7                  | —               | 2                                       | 5                                         | —                                   | 7                                  | —                                   |
| 101 | 2006                 | Southern                 | Kevin Higgins    | 5                | 6                  | —               | 4                                       | 3                                         | —                                   | 4                                  | —                                   |
| 102 | 2007                 | Southern                 | Kevin Higgins    | 7                | 4                  | —               | 4                                       | 3                                         | —                                   | T-3                                | —                                   |
| 103 | 2008                 | Southern                 | Kevin Higgins    | 4                | 8                  | —               | 2                                       | 6                                         | —                                   | 7                                  | —                                   |
| 104 | 2009                 | Southern                 | Kevin Higgins    | 4                | 7                  | —               | 2                                       | 6                                         | —                                   | 7                                  | —                                   |
| 105 | 2010                 | Southern                 | Kevin Higgins    | 3                | 8                  | —               | 1                                       | 7                                         | —                                   | T-8                                | —                                   |
| 106 | 2011                 | Southern                 | Kevin Higgins    | 4                | 7                  | —               | 2                                       | 6                                         | —                                   | 8                                  | —                                   |
| 107 | 2012                 | Southern                 | Kevin Higgins    | 7                | 4                  | —               | 5                                       | 3                                         | —                                   | T-4                                | —                                   |
| 108 | 2013                 | Southern                 | Kevin Higgins    | 5                | 7                  | —               | 4                                       | 4                                         | —                                   | T-4                                | —                                   |
| 109 | 2014                 | Southern                 | Mike Houston     | Upcoming         | Upcoming           | Upcoming        | Upcoming                                | Upcoming                                  | Upcoming                            | Upcoming                           | Upcoming                            |
| 110 | Totals:\n105 Seasons | 2 Conferences            | 23 Head Coaches  | Total\nWins\n473 | Total\nLosses\n536 | Total\nTies\n32 | 239 Conference Wins\n55 SIAA\n184 SoCon | 379 Conference Losses\n58 SIAA\n321 SoCon | 13 Conference Ties\n8 SIAA\n5 SoCon | Regular Season\nChampions\n2 times | 1–0 Bowl Record\n1–3 Playoff Record |
===================Question===================
who coached longer, john sauer or charlie taaffe?
===================Text===================
Final Answer: Charlie Taaffe
===================Answer===================
Charlie Taaffe
