===================Title===================
Florida Derby
===================Table===================
|    |   Year | Winner              |   Age | Jockey             | Trainer              | Owner                     | Distance\n(Miles)   | Time    | Purse      | Gr   |
| 20 |   1994 | Holy Bull           |     3 | Mike Smith         | Warren A. Croll, Jr. | Warren A. Croll, Jr.      | 1-1/8               | 1:47.66 | $500,000   | I    |
| 21 |   1993 | Bull In the Heather |     3 | Wigberto Ramos     | Howard M. Tesher     | Arthur Klein              | 1-1/8               | 1:51.38 | $500,000   | I    |
| 22 |   1992 | Technology          |     3 | Jerry Bailey       | Hubert Hine          | Scott Savin               | 1-1/8               | 1:50.72 | $500,000   | I    |
| 23 |   1991 | Fly So Free         |     3 | Jose Santos        | Scotty Schulhofer    | Tommy Valando             | 1-1/8               | 1:50.44 | $500,000   | I    |
| 24 |   1990 | Unbridled           |     3 | Pat Day            | Carl Nafzger         | Genter Stable             | 1-1/8               | 1:52.00 | $500,000   | I    |
| 25 |   1989 | Mercedes Won        |     3 | Earlie Fires       | Arnold Fink          | Christopher Spencer       | 1-1/8               | 1:49.60 | $500,000   | I    |
| 26 |   1988 | Brian's Time        |     3 | Randy Romero       | John M. Veitch       | James W. Phillips         | 1-1/8               | 1:49.80 | $500,000   | I    |
| 27 |   1987 | Cryptoclearance     |     3 | Jose Santos        | Scotty Schulhofer    | Phil Teinowitz            | 1-1/8               | 1:49.60 | $500,000   | I    |
| 28 |   1986 | Snow Chief          |     3 | Alex Solis         | Melvin F. Stute      | Rochelle/Grinstead        | 1-1/8               | 1:51.80 | $500,000   | I    |
| 29 |   1985 | Proud Truth         |     3 | Jorge Velasquez    | John M. Veitch       | Darby Dan Farm            | 1-1/8               | 1:50.00 | $500,000   | I    |
| 30 |   1984 | Swale               |     3 | Laffit Pincay, Jr. | Woody Stephens       | Claiborne Farm            | 1-1/8               | 1:47.60 | $300,000   | I    |
| 31 |   1983 | Croeso              |     3 | Frank Olivares     | Jerry M. Fanning     | Joyce & Roy Fowler        | 1-1/8               | 1:49.80 | $300,000   | I    |
| 32 |   1982 | Timely Writer       |     3 | Jeffrey Fell       | Dominic Imprescia    | Peter & Francis Martin    | 1-1/8               | 1:49.60 | $250,000   | I    |
| 33 |   1981 | Lord Avie           |     3 | Chris McCarron     | Daniel Perlsweig     | David Simon               | 1-1/8               | 1:50.40 | $250,000   | I    |
| 34 |   1980 | Plugged Nickle      |     3 | Buck Thornburg     | Thomas J. Kelly      | John M. Schiff            | 1-1/8               | 1:50.20 | $250,000   | I    |
| 35 |   1979 | Spectacular Bid     |     3 | Ronnie Franklin    | Bud Delp             | Hawksworth Farm           | 1-1/8               | 1:48.80 | $200,000   | I    |
| 36 |   1978 | Alydar              |     3 | Jorge Velasquez    | John M. Veitch       | Calumet Farm              | 1-1/8               | 1:47.00 | $200,000   | I    |
| 37 |   1977 | Ruthie's Native     |     3 | Craig Perret       | Eugene Jacobs        | Ruth A. Perlmutter        | 1-1/8               | 1:50.20 | $125,000   | I    |
| 38 |   1977 | Coined Silver       |     3 | Buck Thornburg     | George T. Poole III  | C. V. Whitney             | 1-1/8               | 1:48.80 | $125,000   | I    |
| 39 |   1976 | Honest Pleasure     |     3 | Braulio Baeza      | LeRoy Jolley         | Bertram R. Firestone      | 1-1/8               | 1:47.80 | $125,000   | I    |
| 40 |   1975 | Prince Thou Art     |     3 | Braulio Baeza      | Lou Rondinello       | Darby Dan Farm            | 1-1/8               | 1:50.40 | $150,000   | I    |
| 41 |   1974 | Judger              |     3 | Laffit Pincay, Jr. | Woody Stephens       | Claiborne Farm            | 1-1/8               | 1:49.00 | $150,000   | I    |
| 42 |   1973 | Royal and Regal     |     3 | Walter Blum        | Warren A. Croll, Jr. | Aisco Stable              | 1-1/8               | 1:47.40 | $130,000   | I    |
| 43 |   1972 | Upper Case          |     3 | Ron Turcotte       | Lucien Laurin        | Meadow Stable             | 1-1/8               | 1:50.00 | $130,000   | nan  |
| 44 |   1971 | Eastern Fleet       |     3 | Eddie Maple        | Reggie Cornell       | Calumet Farm              | 1-1/8               | 1:47.40 | nan        | nan  |
| 45 |   1970 | My Dad George       |     3 | Ray Broussard      | Frank J. McManus     | Raymond M. Curtis         | 1-1/8               | 1:50.80 | nan        | nan  |
| 46 |   1969 | Top Knight          |     3 | Manuel Ycaza       | Ray Metcalf          | Steven B. Wilson          | 1-1/8               | 1:48.40 | nan        | nan  |
| 47 |   1968 | Forward Pass        |     3 | Don Brumfield      | Henry Forrest        | Calumet Farm              | 1-1/8               | 1:49.00 | nan        | nan  |
| 48 |   1967 | In Reality          |     3 | Earlie Fires       | Melvin Calvert       | Frances A. Genter         | 1-1/8               | 1:50.20 | nan        | nan  |
| 49 |   1966 | Williamston Kid †   |     3 | Robert Stevenson   | James Bartlett       | Ternes & Bartlett         | 1-1/8               | 1:50.60 | nan        | nan  |
| 50 |   1965 | Native Charger      |     3 | John L. Rotz       | Ray Metcalf          | Warner Stable             | 1-1/8               | 1:51.20 | nan        | nan  |
| 51 |   1964 | Northern Dancer     |     3 | Bill Shoemaker     | Horatio Luro         | Windfields Farm           | 1-1/8               | 1:50.80 | nan        | nan  |
| 52 |   1963 | Candy Spots         |     3 | Bill Shoemaker     | Mesh Tenney          | Rex C. Ellsworth          | 1-1/8               | 1:50.60 | nan        | nan  |
| 53 |   1962 | Ridan               |     3 | Manuel Ycaza       | LeRoy Jolley         | Jolley / Woods / Greer    | 1-1/8               | 1:50.40 | nan        | nan  |
| 54 |   1961 | Carry Back          |     3 | Johnny Sellers     | Jack A. Price        | Mrs. Katherine Price      | 1-1/8               | 1:48.80 | nan        | nan  |
| 55 |   1960 | Bally Ache          |     3 | Bobby Ussery       | Homer Pitt           | Edgehill Farm             | 1-1/8               | 1:47.60 | nan        | nan  |
| 56 |   1959 | Easy Spur           |     3 | Bill Hartack       | Paul L. Kelley       | Spring Hill Farm          | 1-1/8               | 1:47.20 | nan        | nan  |
| 57 |   1958 | Tim Tam             |     3 | Bill Hartack       | Horace A. Jones      | Calumet Farm              | 1-1/8               | 1:49.20 | nan        | nan  |
| 58 |   1957 | Gen. Duke           |     3 | Bill Hartack       | Horace A. Jones      | Calumet Farm              | 1-1/8               | 1:46.80 | nan        | nan  |
| 59 |   1956 | Needles             |     3 | David Erb          | Hugh L. Fontaine     | D & H Stable              | 1-1/8               | 1:48.60 | nan        | nan  |
| 60 |   1955 | Nashua              |     3 | Eddie Arcaro       | Jim Fitzsimmons      | Belair Stud               | 1-1/8               | 1:53.20 | nan        | nan  |
| 61 |   1954 | Correlation         |     3 | Bill Shoemaker     | Noble Threewitt      | Robert S. Lytle           | 1-1/8               | 1:55.20 | nan        | nan  |
| 62 |   1953 | Money Broker        |     3 | Alfred Popara      | Vester R. Wright     | G. & G. Stable            | 1-1/8               | 1:53.80 | nan        | nan  |
| 63 |   1952 | Sky Ship            |     3 | Ronnie Nash        | Preston M. Burch     | Brookmeade Stable         | 1-1/8               | 1:50.80 | nan        | nan  |
===================Question===================
what is the time difference between take charge indy and vicar?
===================Text===================
Final Answer: 2.04 seconds
===================Answer===================
2.04
