===================Title===================
Zane Grey
===================Table===================
|     |   Year | Title                                             | Genre      | Publisher             | Notes                                                                        |
|  33 |   1925 | Tales of Fishing Virgin Seas                      | Fishing    | Harper & Brothers     | nan                                                                          |
|  34 |   1926 | Under the Tonto Rim                               | Western    | Harper & Brothers     | nan                                                                          |
|  35 |   1926 | Tales of the Angler's Eldorado, New Zealand       | Fishing    | Harper & Brothers     | nan                                                                          |
|  36 |   1927 | Forlorn River                                     | Western    | Harper & Brothers     | nan                                                                          |
|  37 |   1927 | Tales of Swordfish and Tuna                       | Fishing    | Harper & Brothers     | nan                                                                          |
|  38 |   1928 | Nevada                                            | Western    | Harper & Brothers     | Sequel to Forlorn River                                                      |
|  39 |   1928 | Wild Horse Mesa                                   | Western    | Harper & Brothers     | nan                                                                          |
|  40 |   1928 | Don, the Story of a Lion Dog                      | Western    | Harper & Brothers     | nan                                                                          |
|  41 |   1928 | Avalanche                                         | Western    | Harper & Brothers     | nan                                                                          |
|  42 |   1928 | Tales of Fresh Water Fishing                      | Fishing    | Harper & Brothers     | nan                                                                          |
|  43 |   1929 | Fighting Caravans                                 | Western    | Harper & Brothers     | nan                                                                          |
|  44 |   1929 | Stairs of Sand                                    | Western    | Harper & Brothers     | nan                                                                          |
|  45 |   1930 | The Wolf Tracker                                  | Western    | Harper & Brothers     | nan                                                                          |
|  46 |   1930 | The Shepherd of Guadaloupe                        | Western    | Harper & Brothers     | nan                                                                          |
|  47 |   1931 | Sunset Pass                                       | Western    | Harper & Brothers     | nan                                                                          |
|  48 |   1931 | Tales of Tahitian Waters                          | Fishing    | Harper & Brothers     | nan                                                                          |
|  49 |   1931 | Book of Camps and Trails                          | Adventure  | Harper & Brothers     | Partial re-print of Tales of Lonely Trails                                   |
|  50 |   1932 | Arizona Ames                                      | Western    | Harper & Brothers     | nan                                                                          |
|  51 |   1932 | Robbers' Roost                                    | Western    | Harper & Brothers     | nan                                                                          |
|  52 |   1933 | The Drift Fence                                   | Western    | Harper & Brothers     | nan                                                                          |
|  53 |   1933 | The Hash Knife Outfit                             | Western    | Harper & Brothers     | Sequel to The Drift Fence                                                    |
|  54 |   1934 | The Code of the West                              | Western    | Harper & Brothers     | nan                                                                          |
|  55 |   1935 | Thunder Mountain                                  | Western    | Harper & Brothers     | nan                                                                          |
|  56 |   1935 | The Trail Driver                                  | Western    | Whitman Publishing    | nan                                                                          |
|  57 |   1936 | The Lost Wagon Train                              | Western    | Harper & Brothers     | nan                                                                          |
|  58 |   1937 | West of the Pecos                                 | Western    | Whitman Publishing    | nan                                                                          |
|  59 |   1937 | An American Angler in Australia                   | Fishing    | Whitman Publishing    | nan                                                                          |
|  60 |   1938 | Raiders of Spanish Peaks                          | Western    | Whitman Publishing    | nan                                                                          |
|  61 |   1939 | Western Union                                     | Western    | Harper & Brothers     | nan                                                                          |
|  62 |   1939 | Knights of the Range                              | Western    | Harper & Brothers     | nan                                                                          |
|  63 |   1940 | Thirty thousand on the Hoof                       | Western    | Harper & Brothers     | nan                                                                          |
|  64 |   1940 | Twin Sombreros                                    | Western    | Harper & Brothers     | Sequel to Knights of the Range                                               |
|  65 |   1942 | Majesty’s Rancho                                  | Western    | Harper & Brothers     | Sequel to Light of Western Stars                                             |
|  66 |   1943 | Omnibus                                           | Western    | Harper & Brothers     | nan                                                                          |
|  67 |   1943 | Stairs of Sand                                    | Western    | Harper & Brothers     | Sequel to Wanderer of the Wasteland                                          |
|  68 |   1944 | The Wilderness Trek                               | Western    | Harper & Brothers     | nan                                                                          |
|  69 |   1946 | Shadow on the Trail                               | Western    | Harper & Brothers     | nan                                                                          |
|  70 |   1947 | Valley of Wild Horses                             | Western    | Harper & Brothers     | nan                                                                          |
|  71 |   1948 | Rogue River Feud                                  | Western    | Harper & Brothers     | nan                                                                          |
|  72 |   1949 | The Deer Stalker                                  | Western    | Harper & Brothers     | nan                                                                          |
|  73 |   1950 | The Maverick Queen                                | Western    | Harper & Brothers     | nan                                                                          |
|  74 |   1951 | The Dude Ranger                                   | Western    | Harper & Brothers     | nan                                                                          |
|  75 |   1952 | Captives of the Desert                            | Western    | Harper & Brothers     | nan                                                                          |
|  76 |   1952 | Adventures in Fishing                             | Fishing    | Harper & Brothers     | nan                                                                          |
|  77 |   1953 | Wyoming                                           | Western    | Harper & Brothers     | nan                                                                          |
|  78 |   1954 | Lost Pueblo                                       | Western    | Harper & Brothers     | nan                                                                          |
|  79 |   1955 | Black Mesa                                        | Western    | Harper & Brothers     | nan                                                                          |
|  80 |   1956 | Stranger from the Tonto                           | Western    | Harper & Brothers     | nan                                                                          |
|  81 |   1957 | The Fugitive Trail                                | Western    | Harper & Brothers     | nan                                                                          |
|  82 |   1958 | Arizona Clan                                      | Western    | Harper & Brothers     | nan                                                                          |
|  83 |   1959 | Horse Heaven Hill                                 | Western    | Harper & Brothers     | nan                                                                          |
|  84 |   1960 | The Ranger and other Stories                      | Western    | Harper & Row          | nan                                                                          |
|  85 |   1961 | Blue Feather and other Stories                    | Western    | Harper & Row          | nan                                                                          |
|  86 |   1963 | Boulder Dam                                       | Historical | HarperCollins         | nan                                                                          |
|  87 |   1974 | The Adventures of Finspot                         | Fishing    | D-J Books             | nan                                                                          |
|  88 |   1975 | Zane Grey's Greatest Indian Stories               | Western    | Dorchester Publishing | Includes original ending to The Vanishing American (1925)                    |
|  89 |   1977 | The Reef Girl                                     | Fishing    | Harper & Row          | nan                                                                          |
|  90 |   1978 | Tales from a Fisherman’s Log                      | Fishing    | Hodder & Stoughton    | nan                                                                          |
|  91 |   1979 | The Camp Robber and other Stories                 | Western    | Walter J. Black       | nan                                                                          |
|  92 |   1981 | The Lord of Lackawaxen Creek                      | Adventure  | Lime Rock Press       | nan                                                                          |
|  93 |   1982 | Angler's Eldorado: Zane Grey in New Zealand       | Fishing    | Walter J. Black       | Partial reprint of 1926 edition (first 10 chapters, plus additional content) |
|  94 |   1994 | George Washington, Frontiersman                   | Historical | Forge Books           | nan                                                                          |
|  95 |   1996 | Last of the Duanes                                | Western    | Gunsmoke Westerns     | Unabridged version of The Lone Star Ranger (1915)                            |
|  96 |   2003 | The Desert Crucible                               | Western    | Leisure Books         | Unabridged version of The Rainbow Trail (1915)                               |
|  97 |   2004 | Tonto Basin                                       | Western    | Leisure Books         | Unabridged version of To the Last Man (1921)                                 |
|  98 |   2007 | Shower of Gold                                    | Western    | Leisure Books         | Unabridged version of Desert Gold (1915)                                     |
|  99 |   2008 | The Great Trek                                    | Western    | Five Star             | Unabridged version of The Wilderness Trek (1944)                             |
| 100 |   2009 | Tales of the Gladiator                            | Fishing    | ZG Collections        | nan                                                                          |
===================Question===================
how many books did "harper & brothers" publish?
===================Text===================

===================Answer===================
74
