===================Title===================
List of periodic comets
===================Table===================
|     | Comet                                                        | Discoverer(s) or namesake(s)                                                                | Orbital period (years)   | Spacecraft encounter(s)                                                                                                                    |
|  37 | 38P/Stephan–Oterma                                           | Stephan & Oterma                                                                            | 37.72                    | nan                                                                                                                                        |
|  38 | 39P/Oterma                                                   | Oterma                                                                                      | 19.53                    | nan                                                                                                                                        |
|  39 | 40P/Väisälä (Väisälä 1)                                | Väisälä                                                                                  | 10.82                    | nan                                                                                                                                        |
|  40 | 41P/Tuttle–Giacobini–Kresák                                 | Tuttle & Giacobini & Kresák                                                                | 5.42                     | nan                                                                                                                                        |
|  41 | 42P/Neujmin (Neujmin 3)                                      | Neujmin                                                                                     | 10.70                    | nan                                                                                                                                        |
|  42 | 43P/Wolf–Harrington                                          | Wolf & Harrington                                                                           | 6.13                     | nan                                                                                                                                        |
|  43 | 44P/Reinmuth (Reinmuth 2)                                    | Reinmuth                                                                                    | 7.08                     | nan                                                                                                                                        |
|  44 | 45P/Honda–Mrkos–Pajdušáková                               | Honda & Mrkos & Pajdušáková                                                              | 5.26                     | nan                                                                                                                                        |
|  45 | 46P/Wirtanen                                                 | Wirtanen                                                                                    | 5.44                     | ICE (distant flyby 2018 – proposed), CHopper (lander 2022—proposed)                                                                        |
|  46 | 47P/Ashbrook–Jackson                                         | Ashbrook & Jackson                                                                          | 8.35                     | nan                                                                                                                                        |
|  47 | 48P/Johnson                                                  | Johnson                                                                                     | 6.95                     | nan                                                                                                                                        |
|  48 | 49P/Arend–Rigaux                                             | Arend & Rigaux                                                                              | 6.73                     | nan                                                                                                                                        |
|  49 | 50P/Arend                                                    | Arend                                                                                       | 8.25                     | nan                                                                                                                                        |
|  50 | 51P/Harrington                                               | Harrington                                                                                  | 7.13                     | nan                                                                                                                                        |
|  51 | 52P/Harrington–Abell                                         | Harrington & Abell                                                                          | 7.54                     | nan                                                                                                                                        |
|  52 | 53P/Van Biesbroeck                                           | Van Biesbroeck                                                                              | 12.6                     | nan                                                                                                                                        |
|  53 | 54P/de Vico–Swift–NEAT                                       | de Vico & Swift & NEAT                                                                      | 7.38                     | nan                                                                                                                                        |
|  54 | 55P/Tempel–Tuttle                                            | Tempel & Tuttle                                                                             | 33.24                    | nan                                                                                                                                        |
|  55 | 56P/Slaughter–Burnham                                        | Slaughter & Burnham                                                                         | 11.54                    | nan                                                                                                                                        |
|  56 | 57P/du Toit–Neujmin–Delporte                                 | du Toit & Neujmin & Delporte                                                                | 6.40                     | nan                                                                                                                                        |
|  57 | 58P/Jackson–Neujmin                                          | Jackson & Neujmin                                                                           | 8.24                     | nan                                                                                                                                        |
|  58 | 59P/Kearns–Kwee                                              | Kearns & Kwee                                                                               | 9.51                     | nan                                                                                                                                        |
|  59 | 60P/Tsuchinshan (Tsuchinshan 2)                              | Tsuchinshan                                                                                 | 6.56                     | nan                                                                                                                                        |
|  60 | 61P/Shajn–Schaldach                                          | Shajn & Schaldach                                                                           | 7.06                     | nan                                                                                                                                        |
|  61 | 62P/Tsuchinshan (Tsuchinshan 1)                              | Tsuchinshan                                                                                 | 6.63                     | nan                                                                                                                                        |
|  62 | 63P/Wild (Wild 1)                                            | Wild                                                                                        | 13.25                    | nan                                                                                                                                        |
|  63 | 64P/Swift–Gehrels                                            | Swift & Gehrels                                                                             | 9.35                     | nan                                                                                                                                        |
|  64 | 65P/Gunn                                                     | Gunn                                                                                        | 6.88                     | nan                                                                                                                                        |
|  65 | 66P/du Toit                                                  | du Toit                                                                                     | 14.71                    | nan                                                                                                                                        |
|  66 | 67P/Churyumov–Gerasimenko                                    | Churyumov & Gerasimenko                                                                     | 6.45                     | Rosetta (orbiter 2014)                                                                                                                     |
|  67 | 68P/Klemola                                                  | Klemola                                                                                     | 10.83                    | nan                                                                                                                                        |
|  68 | 69P/Taylor                                                   | Taylor                                                                                      | 7.65                     | nan                                                                                                                                        |
|  69 | 70P/Kojima                                                   | Kojima                                                                                      | 7.06                     | nan                                                                                                                                        |
|  70 | 71P/Clark                                                    | Clark                                                                                       | 5.53                     | nan                                                                                                                                        |
|  71 | 72D/Denning–Fujikawa                                         | Denning & Fujikawa                                                                          | nan                      | nan                                                                                                                                        |
|  72 | 73P/Schwassmann–Wachmann (Schwassmann–Wachmann 3)            | Schwassmann & Wachmann                                                                      | 5.36                     | nan                                                                                                                                        |
|  73 | 74P/Smirnova–Chernykh                                        | Smirnova & Chernykh                                                                         | 8.51                     | nan                                                                                                                                        |
|  74 | 75D/Kohoutek                                                 | Kohoutek                                                                                    | ~7                       | nan                                                                                                                                        |
|  75 | 76P/West–Kohoutek–Ikemura                                    | West & Kohoutek & Ikemura                                                                   | 6.48                     | nan                                                                                                                                        |
|  76 | 77P/Longmore                                                 | Longmore                                                                                    | 6.88                     | nan                                                                                                                                        |
|  77 | 78P/Gehrels (Gehrels 2)                                      | Gehrels                                                                                     | 7.22                     | nan                                                                                                                                        |
|  78 | 79P/du Toit–Hartley                                          | du Toit & Hartley                                                                           | 5.28                     | nan                                                                                                                                        |
|  79 | 80P/Peters–Hartley                                           | Peters & Hartley                                                                            | 8.12                     | nan                                                                                                                                        |
|  80 | 81P/Wild (Wild 2)                                            | Wild                                                                                        | 6.41                     | Stardust (flyby/sample return 2004)                                                                                                        |
|  81 | 82P/Gehrels (Gehrels 3)                                      | Gehrels                                                                                     | 8.43                     | nan                                                                                                                                        |
|  82 | 83D/Russell (Russell 1)                                      | Russell                                                                                     | nan                      | nan                                                                                                                                        |
|  83 | 84P/Giclas                                                   | Giclas                                                                                      | 6.97                     | nan                                                                                                                                        |
|  84 | 85P/Boethin                                                  | Boethin                                                                                     | 11.81                    | nan                                                                                                                                        |
|  85 | 86P/Wild (Wild 3)                                            | Wild                                                                                        | 6.91                     | nan                                                                                                                                        |
|  86 | 87P/Bus                                                      | Bus                                                                                         | 6.51                     | nan                                                                                                                                        |
|  87 | 88P/Howell                                                   | Howell                                                                                      | 5.49                     | nan                                                                                                                                        |
|  88 | 89P/Russell (Russell 2)                                      | Russell                                                                                     | 7.26                     | nan                                                                                                                                        |
|  89 | 90P/Gehrels (Gehrels 1)                                      | Gehrels                                                                                     | 14.85                    | nan                                                                                                                                        |
|  90 | 91P/Russell (Russell 3)                                      | Russell                                                                                     | 7.67                     | nan                                                                                                                                        |
|  91 | 92P/Sanguin                                                  | Sanguin                                                                                     | 12.43                    | nan                                                                                                                                        |
|  92 | 93P/Lovas (Lovas 1)                                          | Lovas                                                                                       | 9.20                     | nan                                                                                                                                        |
|  93 | 94P/Russell (Russell 4)                                      | Russell                                                                                     | 6.58                     | nan                                                                                                                                        |
|  94 | 95P/Chiron = minor planet 2060 Chiron                        | Kowal                                                                                       | 50.50                    | nan                                                                                                                                        |
|  95 | 96P/Machholz (Machholz 1)                                    | Machholz                                                                                    | 5.28                     | nan                                                                                                                                        |
|  96 | 97P/Metcalf–Brewington                                       | Metcalf & Brewington                                                                        | 10.51                    | nan                                                                                                                                        |
|  97 | 98P/Takamizawa                                               | Takamizawa                                                                                  | 7.40                     | nan                                                                                                                                        |
|  98 | 99P/Kowal (Kowal 1)                                          | Kowal                                                                                       | 15.25                    | nan                                                                                                                                        |
|  99 | 100P/Hartley (Hartley 1)                                     | Hartley                                                                                     | 6.35                     | nan                                                                                                                                        |
| 100 | 101P/Chernykh                                                | Chernykh                                                                                    | 13.94                    | nan                                                                                                                                        |
| 101 | 102P/Shoemaker (Shoemaker 1)                                 | C. Shoemaker & E. Shoemaker                                                                 | 7.22                     | nan                                                                                                                                        |
| 102 | 103P/Hartley (Hartley 2)                                     | Hartley                                                                                     | 6.47                     | Deep Impact (flyby 2010)                                                                                                                   |
| 103 | 104P/Kowal (Kowal 2)                                         | Kowal                                                                                       | 5.89                     | nan                                                                                                                                        |
| 104 | 105P/Singer Brewster                                         | Singer-Brewster                                                                             | 6.47                     | nan                                                                                                                                        |
| 105 | 106P/Schuster                                                | Schuster                                                                                    | 7.31                     | nan                                                                                                                                        |
| 106 | 107P/Wilson–Harrington = minor planet 4015 Wilson–Harrington | Helin & Wilson & Harrington                                                                 | 4.29                     | nan                                                                                                                                        |
| 107 | 108P/Ciffréo                                                | Ciffréo                                                                                    | 7.26                     | nan                                                                                                                                        |
| 108 | 109P/Swift–Tuttle                                            | Swift & Tuttle                                                                              | 133.28                   | nan                                                                                                                                        |
| 109 | 110P/Hartley (Hartley 3)                                     | Hartley                                                                                     | 6.88                     | nan                                                                                                                                        |
| 110 | 111P/Helin–Roman–Crockett                                    | Helin & Roman & Crockett                                                                    | 8.14                     | nan                                                                                                                                        |
| 111 | 112P/Urata–Niijima                                           | Urata & Niijima                                                                             | 6.67                     | nan                                                                                                                                        |
| 112 | 113P/Spitaler                                                | Spitaler                                                                                    | 7.09                     | nan                                                                                                                                        |
| 113 | 114P/Wiseman–Skiff                                           | Wiseman & Skiff                                                                             | 6.67                     | nan                                                                                                                                        |
| 114 | 115P/Maury                                                   | Maury                                                                                       | 8.76                     | nan                                                                                                                                        |
| 115 | 116P/Wild (Wild 4)                                           | Wild                                                                                        | 6.51                     | nan                                                                                                                                        |
| 116 | 117P/Helin–Roman–Alu (Helin–Roman–Alu 1)                     | Helin & Roman & Alu                                                                         | 8.24                     | nan                                                                                                                                        |
| 117 | 118P/Shoemaker–Levy (Shoemaker–Levy 4)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 6.44                     | nan                                                                                                                                        |
| 118 | 119P/Parker–Hartley                                          | Parker & Hartley                                                                            | 8.89                     | nan                                                                                                                                        |
| 119 | 120P/Mueller (Mueller 1)                                     | Mueller                                                                                     | 8.43                     | nan                                                                                                                                        |
| 120 | 121P/Shoemaker–Holt (Shoemaker–Holt 2)                       | C.Shoemaker, E.Shoemaker & Holt                                                             | 8.02                     | nan                                                                                                                                        |
| 121 | 122P/de Vico                                                 | de Vico                                                                                     | 74.35                    | nan                                                                                                                                        |
| 122 | 123P/West–Hartley                                            | West & Hartley                                                                              | 7.59                     | nan                                                                                                                                        |
| 123 | 124P/Mrkos                                                   | Mrkos                                                                                       | 5.75                     | nan                                                                                                                                        |
| 124 | 125P/Spacewatch                                              | Spacewatch                                                                                  | 5.53                     | nan                                                                                                                                        |
| 125 | 126P/IRAS                                                    | IRAS                                                                                        | 13.41                    | nan                                                                                                                                        |
| 126 | 127P/Holt–Olmstead                                           | Holt & Olmstead                                                                             | 6.41                     | nan                                                                                                                                        |
| 127 | 128P/Shoemaker–Holt (Shoemaker–Holt 1)                       | C. Shoemaker, E. Shoemaker & Holt                                                           | 9.59                     | nan                                                                                                                                        |
| 128 | 129P/Shoemaker–Levy (Shoemaker–Levy 3)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 8.89                     | nan                                                                                                                                        |
| 129 | 130P/McNaught–Hughes                                         | McNaught & Hughes                                                                           | 6.66                     | nan                                                                                                                                        |
| 130 | 131P/Mueller (Mueller 2)                                     | Mueller                                                                                     | 7.08                     | nan                                                                                                                                        |
| 131 | 132P/Helin–Roman–Alu (Helin–Roman–Alu 2)                     | Helin & Roman & Alu                                                                         | 8.28                     | nan                                                                                                                                        |
| 132 | 133P/Elst–Pizarro = minor planet 7968 Elst–Pizarro           | Elst & Pizarro                                                                              | 5.62                     | nan                                                                                                                                        |
| 133 | 134P/Kowal–Vávrová                                         | Kowal & Vávrová                                                                           | 15.6                     | nan                                                                                                                                        |
| 134 | 135P/Shoemaker–Levy (Shoemaker–Levy 8)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 7.50                     | nan                                                                                                                                        |
| 135 | 136P/Mueller (Mueller 3)                                     | Mueller                                                                                     | 8.62                     | nan                                                                                                                                        |
| 136 | 137P/Shoemaker–Levy (Shoemaker–Levy 2)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 9.55                     | nan                                                                                                                                        |
| 137 | 138P/Shoemaker–Levy (Shoemaker–Levy 7)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 6.91                     | nan                                                                                                                                        |
| 138 | 139P/Väisälä–Oterma                                       | Väisälä & Oterma                                                                         | 9.61                     | nan                                                                                                                                        |
| 139 | 140P/Bowell–Skiff                                            | Bowell & Skiff                                                                              | 16.18                    | nan                                                                                                                                        |
| 140 | 141P/Machholz (Machholz 2)                                   | Machholz                                                                                    | 5.23                     | nan                                                                                                                                        |
| 141 | 142P/Ge–Wang                                                 | Ge & Wang                                                                                   | 11.09                    | nan                                                                                                                                        |
| 142 | 143P/Kowal–Mrkos                                             | Kowal & Mrkos                                                                               | 8.93                     | nan                                                                                                                                        |
| 143 | 144P/Kushida                                                 | Kushida                                                                                     | 7.57                     | nan                                                                                                                                        |
| 144 | 145P/Shoemaker–Levy (Shoemaker–Levy 5)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 8.66                     | nan                                                                                                                                        |
| 145 | 146P/Shoemaker–LINEAR                                        | C. Shoemaker, E. Shoemaker & LINEAR                                                         | 8.12                     | nan                                                                                                                                        |
| 146 | 147P/Kushida–Muramatsu                                       | Kushida & Muramatsu                                                                         | 7.41                     | nan                                                                                                                                        |
| 147 | 148P/Anderson–LINEAR                                         | Anderson & LINEAR                                                                           | 7.07                     | nan                                                                                                                                        |
| 148 | 149P/Mueller (Mueller 4)                                     | Mueller                                                                                     | 9.02                     | nan                                                                                                                                        |
| 149 | 150P/LONEOS                                                  | LONEOS                                                                                      | 7.66                     | nan                                                                                                                                        |
| 150 | 151P/Helin                                                   | Helin                                                                                       | 14.10                    | nan                                                                                                                                        |
| 151 | 152P/Helin–Lawrence                                          | Helin & Lawrence                                                                            | 9.54                     | nan                                                                                                                                        |
| 152 | 153P/Ikeya–Zhang                                             | Ikeya & Zhang                                                                               | 366.5                    | nan                                                                                                                                        |
| 153 | 154P/Brewington                                              | Brewington                                                                                  | 10.66                    | nan                                                                                                                                        |
| 154 | 155P/Shoemaker (Shoemaker 3)                                 | C. Shoemaker & E. Shoemaker                                                                 | 17.09                    | nan                                                                                                                                        |
| 155 | 156P/Russell–LINEAR                                          | Russell & LINEAR                                                                            | 6.84                     | nan                                                                                                                                        |
| 156 | 157P/Tritton                                                 | Tritton                                                                                     | 6.29                     | nan                                                                                                                                        |
| 157 | 158P/Kowal–LINEAR                                            | Kowal & LINEAR                                                                              | 10.26                    | nan                                                                                                                                        |
| 158 | 159P/LONEOS                                                  | LONEOS                                                                                      | 14.32                    | nan                                                                                                                                        |
| 159 | 160P/LINEAR                                                  | LINEAR                                                                                      | 7.95                     | nan                                                                                                                                        |
| 160 | 161P/Hartley–IRAS                                            | Hartley & IRAS                                                                              | 21.43                    | nan                                                                                                                                        |
| 161 | 162P/Siding Spring                                           | Siding Spring                                                                               | 5.32                     | nan                                                                                                                                        |
| 162 | 163P/NEAT                                                    | NEAT                                                                                        | 7.30                     | nan                                                                                                                                        |
| 163 | 164P/Christensen                                             | Christensen                                                                                 | 6.97                     | nan                                                                                                                                        |
| 164 | 165P/LINEAR                                                  | LINEAR                                                                                      | 76.7                     | nan                                                                                                                                        |
| 165 | 166P/NEAT                                                    | NEAT                                                                                        | 51.73                    | nan                                                                                                                                        |
| 166 | 167P/CINEOS                                                  | CINEOS                                                                                      | 64.85                    | nan                                                                                                                                        |
| 167 | 168P/Hergenrother                                            | Hergenrother                                                                                | 6.89                     | nan                                                                                                                                        |
| 168 | 169P/NEAT                                                    | NEAT                                                                                        | 4.20                     | nan                                                                                                                                        |
| 169 | 170P/Christensen                                             | Christensen                                                                                 | 8.63                     | nan                                                                                                                                        |
| 170 | 171P/Spahr                                                   | Spahr                                                                                       | 6.70                     | nan                                                                                                                                        |
| 171 | 172P/Yeung                                                   | Yeung                                                                                       | 6.59                     | nan                                                                                                                                        |
| 172 | 173P/Mueller (Mueller 5)                                     | Mueller                                                                                     | 13.63                    | nan                                                                                                                                        |
| 173 | 174P/Echeclus = minor planet 60558 Echeclus                  | Spacewatch                                                                                  | 35.02                    | nan                                                                                                                                        |
| 174 | 175P/Hergenrother                                            | Hergenrother                                                                                | 6.34                     | nan                                                                                                                                        |
| 175 | 176P/LINEAR = minor planet 118401 LINEAR                     | LINEAR                                                                                      | 5.71                     | nan                                                                                                                                        |
| 176 | 177P/Barnard (Barnard 2)                                     | Barnard                                                                                     | 119.67                   | nan                                                                                                                                        |
| 177 | 178P/Hug–Bell                                                | Hug & Bell                                                                                  | 7.06                     | nan                                                                                                                                        |
| 178 | 179P/Jedicke                                                 | Jedicke                                                                                     | 14.31                    | nan                                                                                                                                        |
| 179 | 180P/NEAT                                                    | NEAT                                                                                        | 7.54                     | nan                                                                                                                                        |
| 180 | 181P/Shoemaker–Levy (Shoemaker–Levy 6)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 7.53                     | nan                                                                                                                                        |
| 181 | 182P/LONEOS                                                  | LONEOS                                                                                      | 5.02                     | nan                                                                                                                                        |
| 182 | 183P/Korlevic–Juric                                          | Korlevic & Juric                                                                            | 9.58                     | nan                                                                                                                                        |
| 183 | 184P/Lovas (Lovas 2)                                         | Lovas                                                                                       | 6.62                     | nan                                                                                                                                        |
| 184 | 185P/Petriew                                                 | Petriew                                                                                     | 5.47                     | nan                                                                                                                                        |
| 185 | 186P/Garradd                                                 | Garradd                                                                                     | 10.62                    | nan                                                                                                                                        |
| 186 | 187P/LINEAR                                                  | LINEAR                                                                                      | 9.40                     | nan                                                                                                                                        |
| 187 | 188P/LINEAR–Mueller                                          | LINEAR & Mueller                                                                            | 9.13                     | nan                                                                                                                                        |
| 188 | 189P/NEAT                                                    | NEAT                                                                                        | 4.99                     | nan                                                                                                                                        |
| 189 | 190P/Mueller                                                 | Mueller                                                                                     | 8.74                     | nan                                                                                                                                        |
| 190 | 191P/McNaught                                                | McNaught                                                                                    | 6.64                     | nan                                                                                                                                        |
| 191 | 192P/Shoemaker–Levy (Shoemaker–Levy 1)                       | C. Shoemaker, E. Shoemaker & Levy                                                           | 17.29                    | nan                                                                                                                                        |
| 192 | 193P/LINEAR–NEAT                                             | LINEAR & NEAT                                                                               | 6.56                     | nan                                                                                                                                        |
| 193 | 194P/LINEAR                                                  | LINEAR [1]                                                                                  | 8.00                     | nan                                                                                                                                        |
| 194 | 195P/Hill                                                    | Hill                                                                                        | 16.49                    | nan                                                                                                                                        |
| 195 | 196P/Tichý                                                  | Tichý IAUC 8917                                                                            | 7.36                     | nan                                                                                                                                        |
| 196 | 197P/LINEAR                                                  | LINEAR IAUC 8924                                                                            | 4.85                     | nan                                                                                                                                        |
| 197 | 198P/ODAS                                                    | OCA-DLR Asteroid Survey (ODAS)[2], IAUC 8929                                                | 6.78                     | nan                                                                                                                                        |
| 198 | 199P/Shoemaker (Shoemaker 4)                                 | C. Shoemaker & E. Shoemaker CBET 1347                                                       | 14.53                    | nan                                                                                                                                        |
| 199 | 200P/Larsen                                                  | Larsen                                                                                      | 10.92                    | nan                                                                                                                                        |
| 200 | 201P/LONEOS                                                  | LONEOS [3]                                                                                  | 6.47                     | nan                                                                                                                                        |
| 201 | 202P/Scotti                                                  | Scotti [4]                                                                                  | 7.32                     | nan                                                                                                                                        |
| 202 | 203P/Korlevic                                                | Korlevic IAUC 8974                                                                          | 10.01                    | nan                                                                                                                                        |
| 203 | 204P/LINEAR–NEAT                                             | LINEAR & NEAT IAUC 8974                                                                     | 7.00                     | nan                                                                                                                                        |
| 204 | 205P/Giacobini                                               | Giacobini (previously thought lost and designated D/1896 R2) IAUC 8975                      | 6.66                     | nan                                                                                                                                        |
| 205 | 206P/Barnard–Boattini                                        | Barnard & Boattini [previously thought lost and designated D/1892 T1 (Barnard 3)] IAUC 8995 | 5.81                     | nan                                                                                                                                        |
| 206 | 207P/NEAT                                                    | NEAT IAUC 8996                                                                              | 7.63                     | nan                                                                                                                                        |
| 207 | 208P/McMillan                                                | McMillan IAUC 8997, IAUC 9000                                                               | 8.16                     | nan                                                                                                                                        |
| 208 | 209P/LINEAR                                                  | LINEAR IAUC 9002                                                                            | 5.04                     | nan                                                                                                                                        |
| 209 | 210P/Christensen                                             | Christensen IAUC 9005                                                                       | 5.71                     | nan                                                                                                                                        |
| 210 | 211P/Hill                                                    | Hill (Catalina Sky Survey) IAUC 9001                                                        | 6.71                     | nan                                                                                                                                        |
| 211 | 212P/NEAT                                                    | NEAT IAUC 9010                                                                              | 7.78                     | nan                                                                                                                                        |
| 212 | 213P/Van Ness                                                | Van Ness IAUC 9017                                                                          | 6.34                     | nan                                                                                                                                        |
| 213 | 214P/LINEAR                                                  | LINEAR IAUC 9017                                                                            | 6.84                     | nan                                                                                                                                        |
| 214 | 215P/NEAT                                                    | NEAT IAUC 9018                                                                              | 8.07                     | nan                                                                                                                                        |
| 215 | 216P/LINEAR                                                  | LINEAR IAUC 9021                                                                            | 7.63                     | nan                                                                                                                                        |
| 216 | 217P/LINEAR                                                  | LINEAR                                                                                      | 7.83                     | nan                                                                                                                                        |
| 217 | 218P/LINEAR                                                  | LINEAR                                                                                      | 6.11                     | nan                                                                                                                                        |
| 218 | 219P/LINEAR                                                  | LINEAR                                                                                      | 6.98                     | nan                                                                                                                                        |
| 219 | 220P/McNaught                                                | McNaught                                                                                    | 5.50                     | nan                                                                                                                                        |
| 220 | 221P/LINEAR                                                  | LINEAR                                                                                      | 6.50                     | nan                                                                                                                                        |
| 221 | 222P/LINEAR                                                  | LINEAR                                                                                      | 4.83                     | nan                                                                                                                                        |
| 222 | 223P/Skiff                                                   | Skiff                                                                                       | 8.42                     | nan                                                                                                                                        |
| 223 | 224P/LINEAR–NEAT                                             | LINEAR & NEAT                                                                               | 6.30                     | nan                                                                                                                                        |
| 224 | 225P/LINEAR                                                  | LINEAR                                                                                      | 6.99                     | nan                                                                                                                                        |
| 225 | 226P/Pigott–LINEAR–Kowalski                                  | Pigott & LINEAR & Kowalski                                                                  | 7.32                     | nan                                                                                                                                        |
| 226 | 227P/Catalina–LINEAR                                         | Catalina Sky Survey & LINEAR                                                                | 6.79                     | nan                                                                                                                                        |
| 227 | 228P/LINEAR                                                  | LINEAR                                                                                      | 8.49                     | nan                                                                                                                                        |
| 228 | 229P/Gibbs                                                   | Gibbs (Catalina Sky Survey)                                                                 | 7.78                     | nan                                                                                                                                        |
| 229 | 230P/LINEAR                                                  | LINEAR                                                                                      | 6.27                     | nan                                                                                                                                        |
| 230 | 231P/LINEAR–NEAT                                             | LINEAR & NEAT                                                                               | 8.08                     | nan                                                                                                                                        |
| 231 | 232P/Hill                                                    | Hill (Catalina Sky Survey)                                                                  | 9.49                     | nan                                                                                                                                        |
| 232 | 233P/La Sagra                                                | La Sagra Sky Survey                                                                         | 5.29                     | nan                                                                                                                                        |
| 233 | 234P/LINEAR                                                  | LINEAR                                                                                      | 7.47                     | nan                                                                                                                                        |
| 234 | 235P/LINEAR                                                  | LINEAR                                                                                      | 8.00                     | nan                                                                                                                                        |
| 235 | 236P/LINEAR                                                  | LINEAR                                                                                      | 7.20                     | nan                                                                                                                                        |
| 236 | 237P/LINEAR                                                  | LINEAR                                                                                      | 6.57                     | nan                                                                                                                                        |
| 237 | 238P/Read                                                    | Read (Spacewatch)                                                                           | 5.63                     | nan                                                                                                                                        |
