===================Title===================
List of 2008 New Zealand fuel economy ratings
===================Table===================
|     | Model                                    | Fuel Type   |   mpg (US gallons) |   L/100 km |   NZ Rating\n(Stars) |
|  46 | Skoda Fabia 1.4 TDI                      | diesel      |               51   |        4.6 |                  5   |
|  47 | Skoda Fabia 1.9 TDI COMBI                | diesel      |               48   |        4.9 |                  5   |
|  48 | Volkswagen Jetta 1.9 TDI 7DSG            | diesel      |               51   |        4.6 |                  5   |
|  49 | Volkswagen Jetta 2.0 TDI DSG             | diesel      |               43.5 |        5.4 |                  5   |
|  50 | Volkswagen Jetta TDI 103KW 6DSG          | diesel      |               37.9 |        6.2 |                  4.5 |
|  51 | Hyundai i30 1.6 CRDI ELITE M5            | diesel      |               50   |        4.7 |                  5   |
|  52 | Hyundai i30 1.6 CRDI 5D M5               | diesel      |               50   |        4.7 |                  5   |
|  53 | Hyundai i30 1.6 CRDI ELITE A4            | diesel      |               39.2 |        6   |                  5   |
|  54 | Hyundai i30 1.6 5D M5                    | petrol      |               37.9 |        6.2 |                  4.5 |
|  55 | Peugeot 207 HDI 1.6 5DR 5 SP M D         | diesel      |               49   |        4.8 |                  5   |
|  56 | Peugeot 207 XS 1.4 5DR 5SPD M P          | petrol      |               37.3 |        6.3 |                  4.5 |
|  57 | Citroen C3 1.6 HDI 5DR 5SPD              | diesel      |               48   |        4.9 |                  5   |
|  58 | Citroen C3 1.6 5DR 5SPD                  | petrol      |               36.2 |        6.5 |                  4.5 |
|  59 | Kia Cerato 1.6 DIESEL 5M SEDAN           | diesel      |               48   |        4.9 |                  5   |
|  60 | Daihatsu Sirion 1.0 HATCH 5MT            | petrol      |               47   |        5   |                  5   |
|  61 | Daihatsu Sirion 1.3P HATCH 5M            | petrol      |               40.5 |        5.8 |                  5   |
|  62 | Daihatsu Sirion 1.3P HATCH 4A            | petrol      |               36.2 |        6.5 |                  4.5 |
|  63 | Daihatsu Sirion 1.5P SX HATCH 4AT        | petrol      |               35   |        6.7 |                  4.5 |
|  64 | Smart Fortwo CAB                         | petrol      |               47   |        5   |                  5   |
|  65 | Smart Fortwo COUPE                       | petrol      |               47   |        5   |                  5   |
|  66 | Toyota Corolla 1.4D HATCH5 5M            | diesel      |               47   |        5   |                  5   |
|  67 | Toyota Corolla 2.0D HATCH5 6M            | diesel      |               43.5 |        5.4 |                  5   |
|  68 | Toyota Corolla 1.5P WAGON 5DR 5M         | petrol      |               40.5 |        5.8 |                  5   |
|  69 | Volkswagen Passat TDI BLUEMOTION SED     | diesel      |               46   |        5.1 |                  5   |
|  70 | Volkswagen Passat TDI BLUEMOTION VAR     | diesel      |               44.3 |        5.3 |                  5   |
|  71 | Volkswagen Passat 2.0 TDI DSG SEDAN      | diesel      |               38.5 |        6.1 |                  4.5 |
|  72 | Volkswagen Passat 2.0 TDI DSG VARIANT    | diesel      |               37.9 |        6.2 |                  4.5 |
|  73 | Volkswagen Passat TDI 125KW 6DSG SED     | diesel      |               36.2 |        6.5 |                  4.5 |
|  74 | Volkswagen Passat TDI 125KW 6DSG VAR     | diesel      |               35.6 |        6.6 |                  4.5 |
|  75 | Volkswagen Passat TDI 103KW 4M VAR       | diesel      |               35   |        6.7 |                  4.5 |
|  76 | Kia Picanto 1.1 MANUAL                   | petrol      |               45.2 |        5.2 |                  5   |
|  77 | Kia Picanto 1.1 AUTO                     | petrol      |               40.5 |        5.8 |                  5   |
|  78 | Skoda Octavia 1.9 TDI MAN COMBI          | diesel      |               45.2 |        5.2 |                  5   |
|  79 | Skoda Octavia RS 2.0 TDI SEDAN MAN       | diesel      |               41.2 |        5.7 |                  5   |
|  80 | Skoda Octavia RS 2.0 TDI COMBI MAN       | diesel      |               40.5 |        5.8 |                  5   |
|  81 | Skoda Octavia 1.9 TDI AUTO               | diesel      |               40.5 |        5.8 |                  5   |
|  82 | Skoda Octavia 1.9 TDI COMBI AUTO         | diesel      |               40.5 |        5.8 |                  5   |
|  83 | Skoda Octavia 4X4 2.0 TDI COMBI M        | diesel      |               37.9 |        6.2 |                  4.5 |
|  84 | Skoda Octavia SCOUT 2.0 TDI              | diesel      |               36.7 |        6.4 |                  4.5 |
|  85 | BMW 118D HATCH 6M 5DR 1.8L               | diesel      |               44.3 |        5.3 |                  5   |
|  86 | BMW 118D HATCH 6A 5DR 1.8L               | diesel      |               39.2 |        6   |                  5   |
|  87 | Ford Focus 1.8TD WAGON                   | diesel      |               44.3 |        5.3 |                  5   |
|  88 | Ford Focus 1.6 M HATCH                   | petrol      |               35   |        6.7 |                  4.5 |
|  89 | Ford Focus WAG 1.6 MAN                   | petrol      |               35   |        6.7 |                  4.5 |
|  90 | Mercedes Benz A 180 CDI CLASSIC          | diesel      |               44.3 |        5.3 |                  5   |
|  91 | Mercedes Benz A 180 CDI ELEGANCE         | diesel      |               44.3 |        5.3 |                  5   |
|  92 | Mercedes Benz A 180 CDI AVANTGARDE       | diesel      |               44.3 |        5.3 |                  5   |
|  93 | Mercedes Benz A 200 CDI AVANTGARDE       | diesel      |               43.5 |        5.4 |                  5   |
|  94 | Skoda Roomster 1.9 TDI COMFORT           | diesel      |               43.5 |        5.4 |                  5   |
|  95 | Skoda Roomster 1.9 TDI STYLE             | diesel      |               43.5 |        5.4 |                  5   |
|  96 | Audi A4 2.0 TDI MULTI SEDAN              | diesel      |               42.7 |        5.5 |                  5   |
|  97 | Audi A4 2.0 TDI MULTI                    | diesel      |               37.9 |        6.2 |                  4.5 |
|  98 | Audi A4 2.0 TDI MULTI AVANT              | diesel      |               37.9 |        6.2 |                  4.5 |
|  99 | Audi A4 2.7 TDI MULTI SEDAN              | diesel      |               35.6 |        6.6 |                  4.5 |
| 100 | BMW 120D 5 DOOR M E87                    | diesel      |               42.7 |        5.5 |                  5   |
| 101 | BMW 120D 5 DOOR A E87                    | diesel      |               38.5 |        6.1 |                  4.5 |
| 102 | Fiat Bravo SPORT JTD 16V 5DR             | diesel      |               42   |        5.6 |                  5   |
| 103 | Mitsubishi Colt 1.5P LS 5DR HATCH A      | petrol      |               42   |        5.6 |                  5   |
| 104 | Mitsubishi Colt 1.5P VRX 5DR HATCH       | petrol      |               42   |        5.6 |                  5   |
| 105 | Mitsubishi Colt 1.5P VRX 5DR HATCH A     | petrol      |               42   |        5.6 |                  5   |
| 106 | Mitsubishi Colt 1.5P VRX 5DR HATCHA      | petrol      |               42   |        5.6 |                  5   |
| 107 | Mitsubishi Colt 1.5P LS 5DR HATCH M      | petrol      |               39.8 |        5.9 |                  5   |
| 108 | BMW 520D SEDAN 6A 4DR 2.0L               | diesel      |               41.2 |        5.7 |                  5   |
| 109 | Holden Astra MY8.5 CDTI WAGON MAN        | diesel      |               41.2 |        5.7 |                  5   |
| 110 | Holden Astra MY8.5 CDTI HATCH MAN        | diesel      |               41.2 |        5.7 |                  5   |
| 111 | Holden Astra CDTI 5DR HATCH MT           | diesel      |               39.2 |        6   |                  5   |
| 112 | Holden Astra CDTI 5DR MAN                | diesel      |               39.2 |        6   |                  5   |
| 113 | Mini One HATCH 6M 2DR 1.4I               | petrol      |               41.2 |        5.7 |                  5   |
| 114 | Mini One HATCH 6A 2DR 1.4I               | petrol      |               35.6 |        6.6 |                  4.5 |
| 115 | Subaru Legacy WAGON 2.0 TD MANUAL        | diesel      |               41.2 |        5.7 |                  5   |
| 116 | Audi A3 2.0 TDI S TRONIC                 | diesel      |               40.5 |        5.8 |                  5   |
| 117 | Audi A3 SPORTBACK 1.4T FSI               | petrol      |               40.5 |        5.8 |                  5   |
| 118 | Audi A3 2.0 TDI SP A TRONIC              | diesel      |               38.5 |        6.1 |                  4.5 |
| 119 | Subaru Outback WAGON 2.0 TD MANUAL       | diesel      |               40.5 |        5.8 |                  5   |
| 120 | BMW 123D COUPE 6M 3DR 2.0L               | diesel      |               39.8 |        5.9 |                  5   |
| 121 | BMW 123D Saloon 6M 5DR 2.3L              | diesel      |               39.8 |        5.9 |                  5   |
| 122 | BMW 123D HATCH 6M 5DR 2.3L               | diesel      |               38.5 |        6.1 |                  4.5 |
| 123 | BMW 123D 2.3L 6A 3DR COUPE               | diesel      |               38.5 |        6.1 |                  4.5 |
| 124 | Daihatsu Charade 1.0P HATCH5 4A          | petrol      |               39.8 |        5.9 |                  5   |
| 125 | Saab 9-3 Linear SPCOMBI1.9MT             | diesel      |               39.8 |        5.9 |                  5   |
| 126 | Saab 9-3 Linear CONVERTIBLE 1.9TID M     | diesel      |               37.3 |        6.3 |                  4.5 |
| 127 | Volkswagen Caddy DELIVERY 1.9TDI DSG     | diesel      |               39.8 |        5.9 |                  5   |
| 128 | Volkswagen Caddy DELIVERY 1.9TDI MAN     | diesel      |               38.5 |        6.1 |                  4.5 |
| 129 | Volkswagen Caddy LIFE 1.9 TDI DSG        | diesel      |               38.5 |        6.1 |                  4.5 |
| 130 | Volkswagen Caddy LIFE 1.9 TDI MAN        | diesel      |               37.9 |        6.2 |                  4.5 |
| 131 | Alfa Romeo 147 1.9 JTD 16V 5DR 6 SP      | diesel      |               39.2 |        6   |                  5   |
| 132 | Alfa Romeo 159 1.9 JTD 4D 6SP SEDAN      | diesel      |               39.2 |        6   |                  5   |
| 133 | Alfa Romeo 159 2.4 JTD 4D 6SP SEDAN      | diesel      |               34.6 |        6.8 |                  4.5 |
| 134 | BMW 320D SEDAN 6A 4DR 2.0L               | diesel      |               39.2 |        6   |                  5   |
| 135 | BMW 320D TOURING 6A 5DR 2.0L             | diesel      |               38.5 |        6.1 |                  4.5 |
| 136 | Daihatsu Copen 1.3P COUPE CONV 5M        | petrol      |               39.2 |        6   |                  5   |
| 137 | Hyundai Sonata 2.0 CRDI M6               | diesel      |               39.2 |        6   |                  5   |
| 138 | Dodge Caliber SXT CRD                    | diesel      |               38.5 |        6.1 |                  4.5 |
| 139 | Honda Jazz SPORT                         | petrol      |               38.5 |        6.1 |                  4.5 |
| 140 | Holden Combo XC 1.4 MANUAL               | petrol      |               37.9 |        6.2 |                  4.5 |
| 141 | Mercedes Benz B 200 CDI                  | diesel      |               37.9 |        6.2 |                  4.5 |
| 142 | Suzuki Swift GLX 1.5 5DR                 | petrol      |               37.3 |        6.3 |                  4.5 |
| 143 | Suzuki Swift GLXH 1.5 5DR                | petrol      |               37.3 |        6.3 |                  4.5 |
| 144 | Suzuki Swift GLXH2 1.5 5DR               | petrol      |               37.3 |        6.3 |                  4.5 |
| 145 | Suzuki Swift GLXA 1.5 5DR                | petrol      |               35   |        6.7 |                  4.5 |
| 146 | Suzuki Swift GLXHA 1.5 5DR               | petrol      |               35   |        6.7 |                  4.5 |
| 147 | Suzuki Swift GLXHA2 1.5 5DR              | petrol      |               35   |        6.7 |                  4.5 |
| 148 | Fiat Multipla DYNAMIC 1.9 JTD 5D         | diesel      |               36.7 |        6.4 |                  4.5 |
| 149 | Mazda Mazda2 CLASSIC 5DR 1.5 M5          | petrol      |               36.7 |        6.4 |                  4.5 |
| 150 | Mazda Mazda2 SPORT 5 DR 1.5 M 5          | petrol      |               36.7 |        6.4 |                  4.5 |
| 151 | Mazda Mazda2 SPORT 5 DR 1.5 4AT          | petrol      |               34.6 |        6.8 |                  4.5 |
| 152 | Mazda Mazda2 CLASSIC 5DR 1.5 4AT         | petrol      |               34.6 |        6.8 |                  4.5 |
| 153 | Mitsubishi Colt Plus 1.5P RALLIART TURBO | petrol      |               36.7 |        6.4 |                  4.5 |
| 154 | Peugeot 307 XS 1.6 5DR 4SPD A P          | petrol      |               36.7 |        6.4 |                  4.5 |
| 155 | Peugeot 307 XSP 2.0 5DR 5SPD M P         | petrol      |               36.2 |        6.5 |                  4.5 |
| 156 | Peugeot 307 HDI 2.0 5DR 6SPD A D         | diesel      |               35   |        6.7 |                  4.5 |
| 157 | Peugeot 307 HDI 2.0 5DR 6SPD M D         | diesel      |               35   |        6.7 |                  4.5 |
| 158 | Peugeot 607 HDI 2.2 5DR 6SPM P           | diesel      |               36.7 |        6.4 |                  4.5 |
| 159 | BMW 330D SEDAN 6M 4DR 3.0L               | diesel      |               36.2 |        6.5 |                  4.5 |
| 160 | Jeep Compass LTD 2.0L CRD                | diesel      |               36.2 |        6.5 |                  4.5 |
| 161 | Ford Fiesta 5DR 1.6 M                    | petrol      |               35.6 |        6.6 |                  4.5 |
| 162 | Mitsubishi I-car 660P 5DR A              | petrol      |               39.8 |        5.9 |                  4.5 |
| 163 | Toyota RAV4 2.2D WAGON 6M L1             | diesel      |               35.6 |        6.6 |                  4.5 |
| 164 | BMW 118I 5 DOOR M E87                    | petrol      |               35   |        6.7 |                  4.5 |
| 165 | Jeep Patriot 2.0L CRD HIGH LINE          | diesel      |               35   |        6.7 |                  4.5 |
| 166 | Renault Clio 1.6 3DR 4SP A P             | petrol      |               35   |        6.7 |                  4.5 |
| 167 | Alfa Romeo Brera 2.4 JTD 3D 6 SPEED      | diesel      |               34.6 |        6.8 |                  4.5 |
| 168 | Audi A6 2.7 TDI QUATTRO TIP              | diesel      |               34.6 |        6.8 |                  4.5 |
| 169 | BMW 535D SEDAN 6A 4D 3.0L                | diesel      |               34.6 |        6.8 |                  4.5 |
| 170 | Suzuki SX4 GLXF 1.6 5DR                  | petrol      |               34.6 |        6.8 |                  4.5 |
| 171 | Suzuki SX4 GLXH2 1.6 5DR                 | petrol      |               34.6 |        6.8 |                  4.5 |
| 172 | Volkswagen Crosstouran 103KW TDI 6DSG    | diesel      |               34.6 |        6.8 |                  4.5 |
| 173 | Volkswagen Touran 103KW TDI 6DSG         | diesel      |               34.6 |        6.8 |                  4.5 |
| 174 | Holden Barina 3DR HATCH MANUAL           | petrol      |               34   |        6.9 |                  4.5 |
| 175 | Holden Barina 5DR HATCH MANUAL           | petrol      |               34   |        6.9 |                  4.5 |
===================Question===================
how many models utilize diesel as their fuel type?
===================Text===================
Final Answer: 110
===================Answer===================
110
