===================Title===================
Jaycen Joshua
===================Table===================
|     |   Chart Year | Artist                                | Album                              | Song                                           | Billboard Hot 100   |   Billboard Hot R&B/Hip Hop |   Unnamed: 6 |
|  73 |         2013 | Rick Ross                             | Django Soundtrack                  | 100 Black Coffins                              | New Single          |                         nan |          nan |
|  74 |         2013 | B Smyth                               | Forthcoming Album                  | Leggo                                          | New Single          |                         nan |          nan |
|  75 |         2013 | French Montana                        | Forthcoming Album                  | Marble Floors f Rick Ross, Lil Wayne, 2 Chainz | New Single          |                         nan |          nan |
|  76 |         2013 | T.I.                                  | Trouble Man                        | Sorry f Andre 3000 Trouble Man                 | New Single          |                         nan |          nan |
|  77 |         2013 | T.I.                                  | Trouble Man                        | Trap Back Jumpin                               | New Single          |                         nan |          nan |
|  78 |         2013 | Future                                | Forthcoming Album                  | Shit                                           | New Single          |                         nan |          nan |
|  79 |         2013 | Earl Sweatshirt                       | Forthcoming Album                  | Chum                                           | New Single          |                         nan |          nan |
|  80 |         2013 | Sevyn Streeter                        | Forthcoming Album                  | I Like It                                      | New Single          |                         nan |          nan |
|  81 |         2012 | Rihanna                               | Unapologetic                       | Various Songs                                  | 11                  |                          14 |          nan |
|  82 |         2012 | Future                                | Pluto                              | Neva End f/Kelly Rowland                       | 21                  |                         nan |          nan |
|  83 |         2012 | Ne-Yo                                 | Forthcoming Album                  | Don't Make Em Like You                         | New Single          |                         nan |          nan |
|  84 |         2012 | Keyshia Cole                          | Woman to Woman                     | Enough of No Love f Lil Wayne                  | nan                 |                         nan |          nan |
|  85 |         2012 | Keyshia Cole                          | Woman to Woman                     | Trust and Believe                              | 32                  |                         nan |          nan |
|  86 |         2012 | King L "Louie"                        | Forthcoming Album                  | Val Venus                                      | New Single          |                         nan |          nan |
|  87 |         2012 | Pusha-T                               | Forthcoming Album                  | Exodus 23:1                                    | New Single          |                         nan |          nan |
|  88 |         2012 | Kelly Rowland                         | Forthcoming Album                  | Kisses Down Low                                | New Single          |                         nan |          nan |
|  89 |         2012 | Brandy f/ Chris Brown                 | Forthcoming Album                  | **Put It Down                                  | New Single          |                         nan |          nan |
|  90 |         2012 | Chris Brown                           | Fortune                            | Don't Judge Me                                 | 18                  |                         nan |          nan |
|  91 |         2012 | Chris Brown f/ Big Sean & Wiz Khalifa | Fortune                            | Till I Die                                     | New Single          |                          12 |          nan |
|  92 |         2012 | Future                                | Pluto                              | Turn On The Lights                             | New Single          |                           5 |          nan |
|  93 |         2012 | Nas                                   | Forthcoming Album                  | The Don                                        | New Single          |                         nan |          nan |
|  94 |         2012 | Cashout                               | Forthcoming Album                  | Big Booty Ho                                   | New Single          |                         nan |          nan |
|  95 |         2012 | Ciara                                 | Forthcoming Album                  | Got Me Good                                    | New Single          |                         nan |          nan |
|  96 |         2012 | Tank                                  | This Is How I Feel                 | Next Breath                                    | New Single          |                         nan |          nan |
|  97 |         2012 | Chris Brown f/Kevin McCall            | Fortune                            | Strip                                          | 42                  |                           3 |          nan |
|  98 |         2012 | Karmin                                | Forthcoming Album                  | Crash Your Party                               | New Single          |                         nan |          nan |
|  99 |         2012 | John Legend                           | Think Like A Man Soundtrack        | Tonight (Best You Ever Had)                    | New Single          |                          12 |          nan |
| 100 |         2012 | Diggy Simmons f/ Jeremih              | 4 Letter Word                      | Forthcoming Album                              | New Single          |                          11 |          nan |
| 101 |         2011 | Big Sean                              | Finally Famous                     | Dance (A$$)                                    | 10                  |                           3 |          nan |
| 102 |         2011 | T.I. f/ B.o.B                         | We Don't Get Down Like Y'all       | Forthcoming Album                              | New Single          |                         nan |          nan |
| 103 |         2011 | Lupe Fiasco                           | The Show Goes On                   | Lasers                                         | 9                   |                         nan |          nan |
| 104 |         2011 | Trey Songz                            | Passion, Pain & Pleasure           | Unusual                                        | 68                  |                           7 |          nan |
| 105 |         2011 | Diggy Simmons                         | Forthcoming Album                  | Copy, Paste                                    | New Single          |                          13 |          nan |
| 106 |         2011 | Ledisi                                | Pieces of Me                       | Pieces of Me                                   | New Single          |                          21 |          nan |
| 107 |         2010 | Trey Songz                            | Passion, Pain & Pleasure           | Can't Be Friends                               | 43                  |                           1 |          nan |
| 108 |         2011 | Trey Songz                            | Passion, Pain & Pleasure           | Love Faces                                     | nan                 |                           3 |          nan |
| 109 |         2011 | Far East Movement                     | Free Wired                         | Rocketeer                                      | 7                   |                         nan |          nan |
| 110 |         2011 | Lloyd                                 | King of Hearts                     | Lloyd ft. Trey Songz & Young Jeezy             | New Single          |                         nan |          nan |
| 111 |         2011 | Marsha Ambrosius                      | Late Nights & Early Mornings       | Late Nights & Early Mornings                   | New Single          |                          30 |          nan |
| 112 |         2010 | Rihanna                               | Loud                               | Skin                                           | nan                 |                         nan |          nan |
| 113 |         2010 | Katy Perry                            | Teenage Dream                      | Circle the Drain                               | 58                  |                         nan |          nan |
| 114 |         2010 | Katy Perry                            | Teenage Dream                      | Who Am I Living For                            | nan                 |                         nan |          nan |
| 115 |         2010 | Usher                                 | Raymond v. Raymond                 | Lil Freak                                      | 40                  |                           8 |          nan |
| 116 |         2011 | Dirty Money                           | Last Train to Paris                | Ass to The Floor                               | New Single          |                         nan |          nan |
| 117 |         2008 | Mariah Carey                          | E=MC2                              | Touch My Body                                  | 1                   |                           2 |          nan |
| 118 |         2008 | Beyoncé                              | I Am... Sasha Fierce               | Single Ladies                                  | 1                   |                           1 |          nan |
| 119 |         2008 | Jamie Foxx                            | Intuition                          | Blame It                                       | 2                   |                           1 |            3 |
| 120 |         2007 | Sean Paul                             | The Trinity                        | (When You Gonna) Give It Up To Me              | 3                   |                           5 |          nan |
| 121 |         2010 | Justin Bieber                         | My World 2.0                       | Baby ft. Ludacris                              | 5                   |                          96 |          nan |
| 122 |         2010 | Trey Songz                            | Passion, Pain & Pleasure           | Bottoms Up                                     | 6                   |                           2 |          nan |
| 123 |         2009 | Mariah Carey                          | Memoirs of an Imperfect Angel      | Obsessed                                       | 7                   |                          12 |          nan |
| 124 |         2008 | Jesse McCartney                       | Departure                          | Leavin'                                        | 10                  |                         nan |          nan |
| 125 |         2009 | Rihanna                               | Rated R                            | Hard ft. Young Jeezy                           | 11                  |                          14 |          nan |
| 126 |         2010 | Justin Bieber                         | My World 2.0                       | Somebody to Love                               | 15                  |                          20 |          nan |
| 127 |         2009 | Justin Bieber                         | My World                           | One Less Lonely Girl                           | 16                  |                         nan |          nan |
| 128 |         2009 | Fabolous                              | Loso's Way                         | Throw It in the Bag ft. The-Dream              | 17                  |                           4 |          nan |
| 129 |         2008 | The-Dream                             | Love Hate                          | I Luv Your Girl                                | 20                  |                           3 |          nan |
| 130 |         2007 | Mary J. Blige                         | Growing Pains                      | Just Fine                                      | 22                  |                           3 |          nan |
| 131 |         2009 | The-Dream                             | Love vs. Money                     | Rockin' That Shit                              | 22                  |                           2 |          nan |
| 132 |         2010 | Christina Aguilera                    | Bionic                             | Not Myself Tonight                             | 23                  |                         nan |            3 |
| 133 |         2009 | Keyshia Cole                          | Just Like You                      | Remember                                       | 24                  |                           1 |          nan |
| 134 |         2009 | Justin Bieber                         | My World                           | Favorite Girl                                  | 26                  |                         nan |          nan |
| 135 |         2010 | Dirty Money                           | Last Train to Paris                | Hello Good Morning                             | 27                  |                          13 |          nan |
| 136 |         2007 | The-Dream                             | Love Hate                          | Falsetto                                       | 30                  |                           3 |          nan |
| 137 |         2007 | Soulja Boy                            | Tell Em                            | Soulja Girl                                    | 32                  |                          13 |          nan |
| 138 |         2008 | Yung Berg                             | Look What You Made Me              | The Business ft. Casha                         | 33                  |                           6 |          nan |
| 139 |         2009 | Snoop Dogg                            | Malice n Wonderland                | Gangsta Luv ft. The-Dream                      | 35                  |                          24 |          nan |
| 140 |         2008 | New Kids On The Block                 | The Block                          | Summertime                                     | 5                   |                          96 |          nan |
| 141 |         2010 | Cali Swag District                    | Upcoming Album Release             | Teach Me How to Dougie                         | 28                  |                           9 |          nan |
| 142 |         2009 | Justin Bieber                         | My World                           | Love Me                                        | 37                  |                         nan |          nan |
| 143 |         2006 | Ashanti                               | The Declaration                    | The Way That I Love You                        | 37                  |                           2 |          nan |
| 144 |         2007 | Keyshia Cole                          | Just Like You                      | Shoulda Let You Go                             | 41                  |                           6 |          nan |
| 145 |         2009 | Trey Songz                            | Ready                              | I Invented Sex                                 | 42                  |                           1 |          nan |
| 146 |         2010 | Monica                                | Still Standing                     | Everything To Me                               | 44                  |                           1 |          nan |
| 147 |         2008 | Usher                                 | Here I Stand                       | Trading Places                                 | 45                  |                           4 |          nan |
| 148 |         2010 | Ciara                                 | Basic Instinct                     | Ride ft. Ludacris                              | 45                  |                           5 |          nan |
| 149 |         2007 | Keith Urban                           | Love, Pain & the Whole Crazy Thing | I Told You So                                  | 48                  |                         nan |          nan |
| 150 |         2009 | Jamie Foxx                            | Intuition                          | Just Like Me ft. T.I.                          | 49                  |                           8 |          nan |
| 151 |         2008 | LL Cool J                             | Exit 13                            | Baby ft. The-Dream                             | 52                  |                          22 |          nan |
| 152 |         2010 | Charice                               | Charice                            | Pyramid ft. Iyaz                               | 56                  |                         nan |          nan |
| 153 |         2008 | Gym Class Heroes                      | The Quilt                          | Cookie Jar ft. The-Dream                       | 59                  |                         nan |          nan |
| 154 |         2009 | Keyshia Cole                          | A Different Me                     | You Complete Me                                | 67                  |                         nan |          nan |
| 155 |         2009 | Mary J. Blige                         | Stronger with Each Tear            | The One ft. Drake                              | 63                  |                          32 |          nan |
| 156 |         2007 | Mary J. Blige                         | Growing Pains                      | Work That                                      | 65                  |                          16 |          nan |
| 157 |         2008 | Usher                                 | Here I Stand                       | Moving Mountains                               | 67                  |                          18 |          nan |
| 158 |         2009 | Whitney Houston                       | I Look to You                      | I Look To You                                  | 70                  |                          19 |          nan |
| 159 |         2009 | Musiq Soulchild                       | OnMyRadio                          | IfULeave ft. Mary J. Blige                     | 71                  |                           6 |          nan |
| 160 |         2008 | Pussycat Dolls                        | Doll Domination                    | Hush Hush                                      | 73                  |                         nan |           29 |
| 161 |         2009 | Letoya Luckett                        | Lady Love                          | Regret ft. Ludacris                            | 78                  |                           8 |          nan |
| 162 |         2009 | Justin Bieber                         | My World                           | Down To Earth                                  | 79                  |                         nan |          nan |
| 163 |         2010 | The-Dream                             | Love vs. Money                     | Walkin' on the Moon ft. Kanye West             | 87                  |                          38 |          nan |
| 164 |         2010 | The-Dream                             | Love King                          | Love King                                      | 92                  |                          37 |          nan |
| 165 |         2009 | Jamie Foxx                            | Intuition                          | Digital Girl ft. The-Dream & Kanye West        | 92                  |                          38 |          nan |
| 166 |         2009 | Lupe Fiasco                           | Lasers                             | Shining Down ft. Matthew Santos                | 93                  |                         nan |          nan |
| 167 |         2010 | Fantasia                              | Back to Me                         | Bittersweet                                    | 79                  |                           7 |          nan |
| 168 |         2009 | Justin Bieber                         | My World                           | Bigger                                         | 94                  |                         nan |          nan |
| 169 |         2010 | Rihanna                               | Rated R                            | Rockstar 101                                   | 76                  |                         nan |          nan |
| 170 |         2010 | Ayumi Hamasaki                        | Love songs                         | Like a doll                                    | nan                 |                         nan |          nan |
===================Question===================
which artist did jaycen joshua work with before his first job with rick ross?
===================Text===================
Final Answer: Puff Daddy
===================Answer===================
Puff Daddy
